username,repo_name,stars_count,repo_url
dotnet,aspnetcore,31300,https://github.com/dotnet/aspnetcore
files-community,Files,27100,https://github.com/files-community/Files
SeleniumHQ,selenium,26200,https://github.com/SeleniumHQ/selenium
jellyfin,jellyfin,21300,https://github.com/jellyfin/jellyfin
dotnet,core,18800,https://github.com/dotnet/core
dotnet,maui,18700,https://github.com/dotnet/maui
dotnet,corefx,17800,https://github.com/dotnet/corefx
AvaloniaUI,Avalonia,17400,https://github.com/AvaloniaUI/Avalonia
icsharpcode,ILSpy,17400,https://github.com/icsharpcode/ILSpy
Ryujinx,Ryujinx,17000,https://github.com/Ryujinx/Ryujinx
quozd,awesome-dotnet,16400,https://github.com/quozd/awesome-dotnet
pulumi,pulumi,15500,https://github.com/pulumi/pulumi
microsoft,react-native-windows,15300,https://github.com/microsoft/react-native-windows
MoienTajik,AspNetCore-Developer-Roadmap,14900,https://github.com/MoienTajik/AspNetCore-Developer-Roadmap
BeyondDimension,SteamTools,13100,https://github.com/BeyondDimension/SteamTools
dotnet,coreclr,12800,https://github.com/dotnet/coreclr
OpenRA,OpenRA,12600,https://github.com/OpenRA/OpenRA
ardalis,CleanArchitecture,12400,https://github.com/ardalis/CleanArchitecture
bitwarden,server,12200,https://github.com/bitwarden/server
App-vNext,Polly,11700,https://github.com/App-vNext/Polly
dotnet,runtime,11600,https://github.com/dotnet/runtime
jasontaylordev,CleanArchitecture,11500,https://github.com/jasontaylordev/CleanArchitecture
docker,labs,11200,https://github.com/docker/labs
aspnetboilerplate,aspnetboilerplate,11000,https://github.com/aspnetboilerplate/aspnetboilerplate
mono,mono,10400,https://github.com/mono/mono
MonoGame,MonoGame,9300,https://github.com/MonoGame/MonoGame
JustArchiNET,ArchiSteamFarm,9200,https://github.com/JustArchiNET/ArchiSteamFarm
dotnet,orleans,9200,https://github.com/dotnet/orleans
IdentityServer,IdentityServer4,9000,https://github.com/IdentityServer/IdentityServer4
dotnet,BenchmarkDotNet,8800,https://github.com/dotnet/BenchmarkDotNet
winsw,winsw,8800,https://github.com/winsw/winsw
dotnet,machinelearning,8300,https://github.com/dotnet/machinelearning
MathewSachin,Captura,8300,https://github.com/MathewSachin/Captura
kgrzybek,modular-monolith-with-ddd,8200,https://github.com/kgrzybek/modular-monolith-with-ddd
HangfireIO,Hangfire,8200,https://github.com/HangfireIO/Hangfire
gui-cs,Terminal.Gui,8000,https://github.com/gui-cs/Terminal.Gui
nopSolutions,nopCommerce,8000,https://github.com/nopSolutions/nopCommerce
ThreeMammals,Ocelot,7600,https://github.com/ThreeMammals/Ocelot
unoplatform,uno,7600,https://github.com/unoplatform/uno
reactiveui,ReactiveUI,7400,https://github.com/reactiveui/ReactiveUI
