username,repo_name,stars_count,repo_url
mrdoob,three.js,90400,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,22000,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,21300,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,19700,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,16500,https://github.com/ssloy/tinyrenderer
aframevr,aframe,15200,https://github.com/aframevr/aframe
lettier,3d-game-shaders-for-beginners,14900,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,13600,https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium,10100,https://github.com/CesiumGS/cesium
metafizzy,zdog,9700,https://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,8800,https://github.com/timzhang642/3D-Machine-Learning
isl-org,Open3D,8400,https://github.com/isl-org/Open3D
blender,blender,8100,https://github.com/blender/blender
a1studmuffin,SpaceshipGenerator,7400,https://github.com/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,6200,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,6000,https://github.com/FyroxEngine/Fyrox
openscad,openscad,5500,https://github.com/openscad/openscad
google,model-viewer,5400,https://github.com/google/model-viewer
spritejs,spritejs,5200,https://github.com/spritejs/spritejs
jagenjo,webglstudio.js,4900,https://github.com/jagenjo/webglstudio.js
tensorspace-team,tensorspace,4800,https://github.com/tensorspace-team/tensorspace
yfeng95,PRNet,4800,https://github.com/yfeng95/PRNet
ssloy,tinyraytracer,4500,https://github.com/ssloy/tinyraytracer
AaronJackson,vrn,4500,https://github.com/AaronJackson/vrn
tengbao,vanta,4400,https://github.com/tengbao/vanta
mosra,magnum,4400,https://github.com/mosra/magnum
nerfstudio-project,nerfstudio,4300,https://github.com/nerfstudio-project/nerfstudio
urho3d,urho3d,4300,https://github.com/urho3d/urho3d
gfxfundamentals,webgl-fundamentals,4000,https://github.com/gfxfundamentals/webgl-fundamentals
cnr-isti-vclab,meshlab,3600,https://github.com/cnr-isti-vclab/meshlab
vasturiano,3d-force-graph,3500,https://github.com/vasturiano/3d-force-graph
veloren,veloren,3400,https://github.com/veloren/veloren
galacean,oasis-engine,3400,https://github.com/galacean/oasis-engine
cleardusk,3DDFA,3400,https://github.com/cleardusk/3DDFA
troisjs,trois,3400,https://github.com/troisjs/trois
jasonlong,isometric-contributions,3300,https://github.com/jasonlong/isometric-contributions
AlmasB,FXGL,3100,https://github.com/AlmasB/FXGL
antvis,L7,3000,https://github.com/antvis/L7
Kavex,GameDev-Resources,3000,https://github.com/Kavex/GameDev-Resources
tinyobjloader,tinyobjloader,2800,https://github.com/tinyobjloader/tinyobjloader
