username,repo_name,stars_count,repo_url
bitwarden,server,12200,https://github.com/bitwarden/server
dotnet,AspNetCore.Docs,11500,https://github.com/dotnet/AspNetCore.Docs
aspnetboilerplate,aspnetboilerplate,11000,https://github.com/aspnetboilerplate/aspnetboilerplate
abpframework,abp,9700,https://github.com/abpframework/abp
nopSolutions,nopCommerce,8000,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6600,https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,5900,https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,5800,https://github.com/RicoSuter/NSwag
FastEndpoints,FastEndpoints,2700,https://github.com/FastEndpoints/FastEndpoints
dotnet,aspnet-api-versioning,2700,https://github.com/dotnet/aspnet-api-versioning
smartstore,SmartStoreNET,2600,https://github.com/smartstore/SmartStoreNET
JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor
serenity-is,Serenity,2300,https://github.com/serenity-is/Serenity
loic-sharma,BaGet,2300,https://github.com/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-DotNet,2200,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1100,https://github.com/MarimerLLC/csla
antonioCoco,SharPyShell,767,https://github.com/antonioCoco/SharPyShell
riganti,dotvvm,674,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,632,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
json-api-dotnet,JsonApiDotNetCore,609,https://github.com/json-api-dotnet/JsonApiDotNetCore
smartstore,Smartstore,585,https://github.com/smartstore/Smartstore
brthor,Gofer.NET,499,https://github.com/brthor/Gofer.NET
chsakell,mvcarchitecture,473,https://github.com/chsakell/mvcarchitecture
YAFNET,YAFNET,460,https://github.com/YAFNET/YAFNET
IvanJosipovic,BlazorTable,450,https://github.com/IvanJosipovic/BlazorTable
chsakell,aspnet-core-identity,440,https://github.com/chsakell/aspnet-core-identity
Taritsyn,WebMarkupMin,406,https://github.com/Taritsyn/WebMarkupMin
SapphireDb,SapphireDb,400,https://github.com/SapphireDb/SapphireDb
Maarten88,rrod,381,https://github.com/Maarten88/rrod
dotnet,razor,369,https://github.com/dotnet/razor
EEParker,aspnetcore-vueclimiddleware,337,https://github.com/EEParker/aspnetcore-vueclimiddleware
Shazwazza,Examine,314,https://github.com/Shazwazza/Examine
ALMMa,datatables.aspnet,301,https://github.com/ALMMa/datatables.aspnet
NLog,NLog.Web,296,https://github.com/NLog/NLog.Web
ElectronNET,electron.net-api-demos,285,https://github.com/ElectronNET/electron.net-api-demos
yanpitangui,dotnet-api-boilerplate,283,https://github.com/yanpitangui/dotnet-api-boilerplate
cornflourblue,aspnet-core-jwt-authentication-api,282,https://github.com/cornflourblue/aspnet-core-jwt-authentication-api
natenho,Mockaco,277,https://github.com/natenho/Mockaco
