username,repo_name,stars_count,repo_url
ljianshu,Blog,7500,https://github.com/ljianshu/Blog
metafizzy,infinite-scroll,7200,https://github.com/metafizzy/infinite-scroll
developit,unfetch,5500,https://github.com/developit/unfetch
olifolkerd,tabulator,5300,https://github.com/olifolkerd/tabulator
jquery-form,form,5200,https://github.com/jquery-form/form
Studio-42,elFinder,4400,https://github.com/Studio-42/elFinder
elbywan,wretch,3800,https://github.com/elbywan/wretch
dwyl,learn-to-send-email-via-google-script-html-no-server,3000,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
ded,reqwest,2900,https://github.com/ded/reqwest
LeaVerou,bliss,2400,https://github.com/LeaVerou/bliss
wendux,ajax-hook,2300,https://github.com/wendux/ajax-hook
noelboss,featherlight,2100,https://github.com/noelboss/featherlight
craftpip,jquery-confirm,1800,https://github.com/craftpip/jquery-confirm
ptaoussanis,sente,1700,https://github.com/ptaoussanis/sente
nette,tracy,1600,https://github.com/nette/tracy
joaomilho,Enterprise,1600,https://github.com/joaomilho/Enterprise
loadingio,css-spinner,1500,https://github.com/loadingio/css-spinner
k8w,tsrpc,1500,https://github.com/k8w/tsrpc
codingforentrepreneurs,eCommerce,1400,https://github.com/codingforentrepreneurs/eCommerce
u014427391,jeeplatform,1400,https://github.com/u014427391/jeeplatform
MoOx,pjax,1300,https://github.com/MoOx/pjax
danielm,uploader,1100,https://github.com/danielm/uploader
proyecto26,RestClient,1100,https://github.com/proyecto26/RestClient
renderedtext,render_async,1100,https://github.com/renderedtext/render_async
swlib,saber,976,https://github.com/swlib/saber
opensource-socialnetwork,opensource-socialnetwork,943,https://github.com/opensource-socialnetwork/opensource-socialnetwork
webcreate,infinite-ajax-scroll,883,https://github.com/webcreate/infinite-ajax-scroll
BetterTyped,hyper-fetch,783,https://github.com/BetterTyped/hyper-fetch
rapidjs,rapid.js,710,https://github.com/rapidjs/rapid.js
karosLi,KKJSBridge,637,https://github.com/karosLi/KKJSBridge
csxiaoyaojianxian,JavaScriptStudy,636,https://github.com/csxiaoyaojianxian/JavaScriptStudy
GoogTech,sms-ssm,577,https://github.com/GoogTech/sms-ssm
cferdinandi,atomic,544,https://github.com/cferdinandi/atomic
Humsen,web,527,https://github.com/Humsen/web
anzhihe,Free-Web-Books,517,https://github.com/anzhihe/Free-Web-Books
Mevrael,bunny,485,https://github.com/Mevrael/bunny
dashborg,hibiki,466,https://github.com/dashborg/hibiki
jsGanttImproved,jsgantt-improved,409,https://github.com/jsGanttImproved/jsgantt-improved
englercj,resource-loader,409,https://github.com/englercj/resource-loader
loadingio,loading-bar,379,https://github.com/loadingio/loading-bar
