username,repo_name,stars_count,repo_url
jwasham,coding-interview-university,253000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,166000,https://github.com/trekhleb/javascript-algorithms
CyC2018,CS-Notes,163000,https://github.com/CyC2018/CS-Notes
TheAlgorithms,Python,156000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,88000,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,59400,https://github.com/kdn251/interviews
TheAlgorithms,Java,50900,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,50900,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,42500,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,37200,https://github.com/youngyangyang04/leetcode-master
halfrost,LeetCode-Go,29400,https://github.com/halfrost/LeetCode-Go
huihut,interview,28300,https://github.com/huihut/interview
donnemartin,interactive-coding-challenges,27100,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout
TheAlgorithms,JavaScript,25900,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,23800,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,22400,https://github.com/keon/algorithms
trekhleb,homemade-machine-learning,21100,https://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,21000,https://github.com/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,18000,https://github.com/AtsushiSakai/PythonRobotics
williamfiset,Algorithms,14500,https://github.com/williamfiset/Algorithms
greyireland,algorithm-pattern,14000,https://github.com/greyireland/algorithm-pattern
OpenGenus,cosmos,13300,https://github.com/OpenGenus/cosmos
halfrost,Halfrost-Field,12000,https://github.com/halfrost/Halfrost-Field
lnishan,awesome-competitive-programming,11000,https://github.com/lnishan/awesome-competitive-programming
apachecn,apachecn-algo-zh,10800,https://github.com/apachecn/apachecn-algo-zh
gyoogle,tech-interview-for-developer,10100,https://github.com/gyoogle/tech-interview-for-developer
krahets,hello-algo,9200,https://github.com/krahets/hello-algo
Alinshans,MyTinySTL,8600,https://github.com/Alinshans/MyTinySTL
Blankj,awesome-java-leetcode,8500,https://github.com/Blankj/awesome-java-leetcode
Turfjs,turf,7900,https://github.com/Turfjs/turf
LeetCode-OpenSource,vscode-leetcode,7700,https://github.com/LeetCode-OpenSource/vscode-leetcode
jeffgerickson,algorithms,7700,https://github.com/jeffgerickson/algorithms
OlafenwaMoses,ImageAI,7700,https://github.com/OlafenwaMoses/ImageAI
mgechev,javascript-algorithms,7600,https://github.com/mgechev/javascript-algorithms
QuantConnect,Lean,7300,https://github.com/QuantConnect/Lean
nonstriater,Learn-Algorithms,7200,https://github.com/nonstriater/Learn-Algorithms
amejiarosario,dsa.js-data-structures-algorithms-javascript,7200,https://github.com/amejiarosario/dsa.js-data-structures-algorithms-javascript
twowaits,SDE-Interview-Questions,6500,https://github.com/twowaits/SDE-Interview-Questions
SharingSource,LogicStack-LeetCode,6200,https://github.com/SharingSource/LogicStack-LeetCode
