username,repo_name,stars_count,repo_url
localstack,localstack,46400,https://github.com/localstack/localstack
serverless,serverless,44500,https://github.com/serverless/serverless
bregman-arie,devops-exercises,41900,https://github.com/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,24800,https://github.com/donnemartin/data-science-ipython-notebooks
pulumi,pulumi,15500,https://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,13700,https://github.com/ramitsurana/awesome-kubernetes
kubernetes-sigs,kubespray,13700,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,13600,https://github.com/aws/aws-cli
serverless-stack,sst,12900,https://github.com/serverless-stack/sst
mozilla,sops,12500,https://github.com/mozilla/sops
donnemartin,awesome-aws,11400,https://github.com/donnemartin/awesome-aws
caprover,caprover,10200,https://github.com/caprover/caprover
apereo,cas,10100,https://github.com/apereo/cas
aws,aws-cdk,10000,https://github.com/aws/aws-cdk
GoogleCloudPlatform,terraformer,9900,https://github.com/GoogleCloudPlatform/terraformer
aws,chalice,9600,https://github.com/aws/chalice
aws-amplify,amplify-js,9200,https://github.com/aws-amplify/amplify-js
aws,serverless-application-model,9000,https://github.com/aws/serverless-application-model
google,go-cloud,9000,https://github.com/google/go-cloud
infracost,infracost,8900,https://github.com/infracost/infracost
apex,up,8700,https://github.com/apex/up
hashicorp,terraform-provider-aws,8400,https://github.com/hashicorp/terraform-provider-aws
aws,aws-sdk-go,8200,https://github.com/aws/aws-sdk-go
aws,amazon-sagemaker-examples,8100,https://github.com/aws/amazon-sagemaker-examples
boto,boto3,8000,https://github.com/boto/boto3
prowler-cloud,prowler,7900,https://github.com/prowler-cloud/prowler
99designs,aws-vault,7400,https://github.com/99designs/aws-vault
aws,aws-sdk-js,7300,https://github.com/aws/aws-sdk-js
awsdocs,aws-doc-sdk-examples,7300,https://github.com/awsdocs/aws-doc-sdk-examples
awslabs,aws-shell,6900,https://github.com/awslabs/aws-shell
bregman-arie,devops-resources,6800,https://github.com/bregman-arie/devops-resources
geerlingguy,ansible-for-devops,6800,https://github.com/geerlingguy/ansible-for-devops
gruntwork-io,terratest,6800,https://github.com/gruntwork-io/terratest
getmoto,moto,6700,https://github.com/getmoto/moto
gruntwork-io,terragrunt,6700,https://github.com/gruntwork-io/terragrunt
Netflix,metaflow,6500,https://github.com/Netflix/metaflow
midwayjs,midway,6500,https://github.com/midwayjs/midway
webiny,webiny-js,6500,https://github.com/webiny/webiny-js
aws,aws-sam-cli,6200,https://github.com/aws/aws-sam-cli
kubernetes-sigs,external-dns,6200,https://github.com/kubernetes-sigs/external-dns
