username,repo_name,stars_count,repo_url
amphp,amp,3900,https://github.com/amphp/amp
danog,MadelineProto,2300,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,753,https://github.com/unreal4u/telegram-api
amphp,parallel,657,https://github.com/amphp/parallel
amphp,http-client,650,https://github.com/amphp/http-client
php-service-bus,service-bus,339,https://github.com/php-service-bus/service-bus
amphp,byte-stream,325,https://github.com/amphp/byte-stream
amphp,mysql,305,https://github.com/amphp/mysql
amphp,parallel-functions,241,https://github.com/amphp/parallel-functions
amphp,process,210,https://github.com/amphp/process
amphp,socket,189,https://github.com/amphp/socket
amphp,redis,136,https://github.com/amphp/redis
amphp,sync,133,https://github.com/amphp/sync
amphp,dns,130,https://github.com/amphp/dns
kelunik,acme,117,https://github.com/kelunik/acme
amphp,websocket-client,116,https://github.com/amphp/websocket-client
amphp,serialization,95,https://github.com/amphp/serialization
PeeHaa,mailgrab,92,https://github.com/PeeHaa/mailgrab
amphp,websocket-server,91,https://github.com/amphp/websocket-server
amphp,cache,86,https://github.com/amphp/cache
amphp,windows-registry,84,https://github.com/amphp/windows-registry
amphp,file,82,https://github.com/amphp/file
amphp,hpack,81,https://github.com/amphp/hpack
jolicode,asynit,76,https://github.com/jolicode/asynit
amphp,postgres,73,https://github.com/amphp/postgres
amphp,beanstalk,62,https://github.com/amphp/beanstalk
phpinnacle,ridge,50,https://github.com/phpinnacle/ridge
amphp,aerys,49,https://github.com/amphp/aerys
wind-framework,wind-framework,48,https://github.com/wind-framework/wind-framework
amphp,cluster,47,https://github.com/amphp/cluster
Room-11,Jeeves,42,https://github.com/Room-11/Jeeves
amphp,getting-started,36,https://github.com/amphp/getting-started
amphp,http-server-router,34,https://github.com/amphp/http-server-router
webgriffe,esb,30,https://github.com/webgriffe/esb
ekinhbayar,gitamp,30,https://github.com/ekinhbayar/gitamp
amphp,ssh,30,https://github.com/amphp/ssh
amphp,log,28,https://github.com/amphp/log
amphp,amphp.github.io,23,https://github.com/amphp/amphp.github.io
amphp,react-adapter,22,https://github.com/amphp/react-adapter
