username,repo_name,stars_count,repo_url
flutter,flutter,152000,https://github.com/flutter/flutter
facebook,react-native,109000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,101000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,80300,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,63200,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,47800,https://github.com/google/material-design-icons
Solido,awesome-flutter,46100,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,45900,https://github.com/wasabeef/awesome-android-ui
square,okhttp,43800,https://github.com/square/okhttp
android,architecture-samples,42500,https://github.com/android/architecture-samples
square,retrofit,41300,https://github.com/square/retrofit
dcloudio,uni-app,37900,https://github.com/dcloudio/uni-app
fastlane,fastlane,36800,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,36300,https://github.com/PhilJay/MPAndroidChart
laurent22,joplin,35200,https://github.com/laurent22/joplin
skylot,jadx,34000,https://github.com/skylot/jadx
airbnb,lottie-android,33700,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,33500,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,33500,https://github.com/bumptech/glide
xitu,gold-miner,32100,https://github.com/xitu/gold-miner
Blankj,AndroidUtilCode,32000,https://github.com/Blankj/AndroidUtilCode
bilibili,ijkplayer,31300,https://github.com/bilibili/ijkplayer
Trinea,android-open-project,31200,https://github.com/Trinea/android-open-project
zxing,zxing,30800,https://github.com/zxing/zxing
appwrite,appwrite,30300,https://github.com/appwrite/appwrite
square,leakcanary,28300,https://github.com/square/leakcanary
codepath,android_guides,28100,https://github.com/codepath/android_guides
alibaba,fastjson,25200,https://github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,24100,https://github.com/scwang90/SmartRefreshLayout
react-native-elements,react-native-elements,23500,https://github.com/react-native-elements/react-native-elements
CymChad,BaseRecyclerViewAdapterHelper,23500,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
quasarframework,quasar,23200,https://github.com/quasarframework/quasar
TeamNewPipe,NewPipe,23200,https://github.com/TeamNewPipe/NewPipe
NativeScript,NativeScript,22400,https://github.com/NativeScript/NativeScript
tachiyomiorg,tachiyomi,21800,https://github.com/tachiyomiorg/tachiyomi
google,iosched,21700,https://github.com/google/iosched
libgdx,libgdx,21300,https://github.com/libgdx/libgdx
google,mediapipe,21200,https://github.com/google/mediapipe
google,ExoPlayer,20600,https://github.com/google/ExoPlayer
termux,termux-app,20500,https://github.com/termux/termux-app
