username,repo_name,stars_count,repo_url
justjavac,free-programming-books-zh_CN,101000,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,87200,https://github.com/angular/angular
storybookjs,storybook,77800,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,55600,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,48800,https://github.com/ionic-team/ionic-framework
prettier,prettier,45200,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,34700,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,32600,https://github.com/SheetJS/sheetjs
angular,angular-cli,26000,https://github.com/angular/angular-cli
angular,components,23400,https://github.com/angular/components
NativeScript,NativeScript,22400,https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,21100,https://github.com/goldbergyoni/javascript-testing-best-practices
jhipster,generator-jhipster,20400,https://github.com/jhipster/generator-jhipster
pubkey,rxdb,19000,https://github.com/pubkey/rxdb
nrwl,nx,17100,https://github.com/nrwl/nx
teambit,bit,16500,https://github.com/teambit/bit
sweetalert2,sweetalert2,15700,https://github.com/sweetalert2/sweetalert2
sudheerj,javascript-interview-questions,15300,https://github.com/sudheerj/javascript-interview-questions
wailsapp,wails,14900,https://github.com/wailsapp/wails
codesandbox,codesandbox-client,12300,https://github.com/codesandbox/codesandbox-client
linnovate,mean,12200,https://github.com/linnovate/mean
Chocobozzz,PeerTube,11600,https://github.com/Chocobozzz/PeerTube
jasontaylordev,CleanArchitecture,11500,https://github.com/jasontaylordev/CleanArchitecture
PatrickJS,MFE-starter,10400,https://github.com/PatrickJS/MFE-starter
dotansimha,graphql-code-generator,9900,https://github.com/dotansimha/graphql-code-generator
ag-grid,ag-grid,9800,https://github.com/ag-grid/ag-grid
abpframework,abp,9700,https://github.com/abpframework/abp
angular,protractor,8800,https://github.com/angular/protractor
PatrickJS,awesome-angular,8800,https://github.com/PatrickJS/awesome-angular
OnsenUI,OnsenUI,8700,https://github.com/OnsenUI/OnsenUI
BuilderIO,mitosis,8400,https://github.com/BuilderIO/mitosis
NG-ZORRO,ng-zorro-antd,8400,https://github.com/NG-ZORRO/ng-zorro-antd
rematch,rematch,8400,https://github.com/rematch/rematch
text-mask,text-mask,8200,https://github.com/text-mask/text-mask
ng-bootstrap,ng-bootstrap,8100,https://github.com/ng-bootstrap/ng-bootstrap
primefaces,primeng,8100,https://github.com/primefaces/primeng
akveo,nebular,7800,https://github.com/akveo/nebular
ngrx,platform,7500,https://github.com/ngrx/platform
angular,angularfire,7400,https://github.com/angular/angularfire
ajenti,ajenti,7100,https://github.com/ajenti/ajenti
