username,repo_name,stars_count,repo_url
ansible,ansible,56900,https://github.com/ansible/ansible
bregman-arie,devops-exercises,41900,https://github.com/bregman-arie/devops-exercises
trailofbits,algo,27000,https://github.com/trailofbits/algo
StreisandEffect,streisand,23000,https://github.com/StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,22200,https://github.com/MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,13700,https://github.com/kubernetes-sigs/kubespray
ansible,awx,12100,https://github.com/ansible/awx
easzlab,kubeasz,9000,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,6800,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,6700,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,6600,https://github.com/Tikam02/DevOps-Guide
ansible-semaphore,semaphore,5800,https://github.com/ansible-semaphore/semaphore
geerlingguy,mac-dev-playbook,5200,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,4900,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4600,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,4100,https://github.com/clong/DetectionLab
netbootxyz,netboot.xyz,4000,https://github.com/netbootxyz/netboot.xyz
litmuschaos,litmus,3600,https://github.com/litmuschaos/litmus
ansible-community,molecule,3500,https://github.com/ansible-community/molecule
opendevops-cn,opendevops,3400,https://github.com/opendevops-cn/opendevops
dev-sec,ansible-collection-hardening,3200,https://github.com/dev-sec/ansible-collection-hardening
welliamcao,OpsManage,3100,https://github.com/welliamcao/OpsManage
ansible,ansible-lint,3000,https://github.com/ansible/ansible-lint
alixaxel,chrome-aws-lambda,3000,https://github.com/alixaxel/chrome-aws-lambda
roots,trellis,2400,https://github.com/roots/trellis
davestephens,ansible-nas,2400,https://github.com/davestephens/ansible-nas
ansistrano,deploy,2300,https://github.com/ansistrano/deploy
fboender,ansible-cmdb,2200,https://github.com/fboender/ansible-cmdb
pytest-dev,pytest-testinfra,2200,https://github.com/pytest-dev/pytest-testinfra
Cloudbox,Cloudbox,2200,https://github.com/Cloudbox/Cloudbox
leucos,ansible-tuto,2100,https://github.com/leucos/ansible-tuto
Artemmkin,infrastructure-as-code-tutorial,2100,https://github.com/Artemmkin/infrastructure-as-code-tutorial
openshift,openshift-ansible,2100,https://github.com/openshift/openshift-ansible
geerlingguy,ansible-vagrant-examples,2000,https://github.com/geerlingguy/ansible-vagrant-examples
ChristianLempa,boilerplates,1800,https://github.com/ChristianLempa/boilerplates
ComplianceAsCode,content,1800,https://github.com/ComplianceAsCode/content
adammck,terraform-inventory,1700,https://github.com/adammck/terraform-inventory
geerlingguy,raspberry-pi-dramble,1700,https://github.com/geerlingguy/raspberry-pi-dramble
plexguide,PlexGuide.com,1600,https://github.com/plexguide/PlexGuide.com
ansible-community,ara,1600,https://github.com/ansible-community/ara
