username,repo_name,stars_count,repo_url
arendst,Tasmota,19500,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,14600,https://github.com/MarlinFirmware/Marlin
arduino,Arduino,13500,https://github.com/arduino/Arduino
rwaldron,johnny-five,13000,https://github.com/rwaldron/johnny-five
tinygo-org,tinygo,12500,https://github.com/tinygo-org/tinygo
SpacehuhnTech,esp8266_deauther,11500,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,10400,https://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,8300,https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,8200,https://github.com/hybridgroup/gobot
platformio,platformio-core,6700,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,6100,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,5700,https://github.com/tzapu/WiFiManager
hybridgroup,cylon,4000,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3900,https://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,3800,https://github.com/arduino/arduino-cli
olikraus,u8g2,3800,https://github.com/olikraus/u8g2
blynkkk,blynk-library,3600,https://github.com/blynkkk/blynk-library
ClemensElflein,OpenMower,3400,https://github.com/ClemensElflein/OpenMower
NerdLang,nerd,3400,https://github.com/NerdLang/nerd
Serial-Studio,Serial-Studio,3200,https://github.com/Serial-Studio/Serial-Studio
1technophile,OpenMQTTGateway,3000,https://github.com/1technophile/OpenMQTTGateway
scottbez1,splitflap,2600,https://github.com/scottbez1/splitflap
Bodmer,TFT_eSPI,2600,https://github.com/Bodmer/TFT_eSPI
scottlawsonbc,audio-reactive-led-strip,2500,https://github.com/scottlawsonbc/audio-reactive-led-strip
crankyoldgit,IRremoteESP8266,2400,https://github.com/crankyoldgit/IRremoteESP8266
isl-org,OpenBot,2400,https://github.com/isl-org/OpenBot
stm32duino,Arduino_Core_STM32,2200,https://github.com/stm32duino/Arduino_Core_STM32
blinker-iot,blinker-library,2100,https://github.com/blinker-iot/blinker-library
nRF24,RF24,2000,https://github.com/nRF24/RF24
justcallmekoko,ESP32Marauder,2000,https://github.com/justcallmekoko/ESP32Marauder
ThingPulse,esp8266-oled-ssd1306,1800,https://github.com/ThingPulse/esp8266-oled-ssd1306
omriharel,deej,1700,https://github.com/omriharel/deej
LucidVR,lucidgloves,1700,https://github.com/LucidVR/lucidgloves
T-vK,ESP32-BLE-Keyboard,1600,https://github.com/T-vK/ESP32-BLE-Keyboard
earlephilhower,ESP8266Audio,1600,https://github.com/earlephilhower/ESP8266Audio
sanni,cartreader,1600,https://github.com/sanni/cartreader
SpacehuhnTech,WiFiDuck,1600,https://github.com/SpacehuhnTech/WiFiDuck
vshymanskyy,TinyGSM,1600,https://github.com/vshymanskyy/TinyGSM
luc-github,ESP3D,1500,https://github.com/luc-github/ESP3D
sqfmi,Watchy,1500,https://github.com/sqfmi/Watchy
