username,repo_name,stars_count,repo_url
atom,atom,59300,https://github.com/atom/atom
themerdev,themer,5100,https://github.com/themerdev/themer
miniflux,v2,4900,https://github.com/miniflux/v2
shd101wyy,markdown-preview-enhanced,3900,https://github.com/shd101wyy/markdown-preview-enhanced
nteract,hydrogen,3800,https://github.com/nteract/hydrogen
atom,teletype,2400,https://github.com/atom/teletype
mmcdole,gofeed,2100,https://github.com/mmcdole/gofeed
NaiboWang,CommandlineConfig,2000,https://github.com/NaiboWang/CommandlineConfig
mehcode,awesome-atom,1900,https://github.com/mehcode/awesome-atom
kurtmckee,feedparser,1600,https://github.com/kurtmckee/feedparser
joefitzgerald,go-plus,1500,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1500,https://github.com/Glavin001/atom-beautify
simplepie,simplepie,1500,https://github.com/simplepie/simplepie
ocaml,merlin,1500,https://github.com/ocaml/merlin
t9md,atom-vim-mode-plus,1400,https://github.com/t9md/atom-vim-mode-plus
feeddd,feeds,1400,https://github.com/feeddd/feeds
MagicStack,MagicPython,1400,https://github.com/MagicStack/MagicPython
atom,apm,1300,https://github.com/atom/apm
file-icons,atom,1300,https://github.com/file-icons/atom
fwcd,kotlin-language-server,1200,https://github.com/fwcd/kotlin-language-server
kettanaito,atomic-layout,1100,https://github.com/kettanaito/atomic-layout
atom,github,1100,https://github.com/atom/github
nmdias,FeedKit,1100,https://github.com/nmdias/FeedKit
nathanbuchar,atom-one-dark-terminal,1000,https://github.com/nathanbuchar/atom-one-dark-terminal
martinrotter,rssguard,970,https://github.com/martinrotter/rssguard
jpmonette,feed,948,https://github.com/jpmonette/feed
danhper,atomic-chrome,922,https://github.com/danhper/atomic-chrome
jesseweed,seti-ui,917,https://github.com/jesseweed/seti-ui
jasonmunro,cypht,801,https://github.com/jasonmunro/cypht
prettier,prettier-atom,769,https://github.com/prettier/prettier-atom
raphamorim,lucario,764,https://github.com/raphamorim/lucario
jekyll,jekyll-feed,757,https://github.com/jekyll/jekyll-feed
lwindolf,liferea,750,https://github.com/lwindolf/liferea
atom-community,atom-script,733,https://github.com/atom-community/atom-script
gorilla,feeds,653,https://github.com/gorilla/feeds
atom,flight-manual.atom.io,625,https://github.com/atom/flight-manual.atom.io
platformio,platformio-atom-ide-terminal,623,https://github.com/platformio/platformio-atom-ide-terminal
lkiesow,python-feedgen,614,https://github.com/lkiesow/python-feedgen
atom-community,atom,603,https://github.com/atom-community/atom
AtomLinter,linter-eslint,587,https://github.com/AtomLinter/linter-eslint
