username,repo_name,stars_count,repo_url
sindresorhus,awesome,247000,https://github.com/sindresorhus/awesome
vinta,awesome-python,162000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,126000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,99100,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,93900,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,70900,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,66800,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,63200,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,59200,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,54400,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,50400,https://github.com/sindresorhus/awesome-nodejs
MunGell,awesome-for-beginners,49800,https://github.com/MunGell/awesome-for-beginners
prakhar1989,awesome-courses,46400,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,46100,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,45900,https://github.com/wasabeef/awesome-android-ui
fffaraz,awesome-cpp,45000,https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,44400,https://github.com/binhnguyennus/awesome-scalability
vsouza,awesome-ios,42400,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,40300,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,37900,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,36000,https://github.com/akullpp/awesome-java
brillout,awesome-react-components,35200,https://github.com/brillout/awesome-react-components
serhii-londar,open-source-mac-os-apps,34800,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,34200,https://github.com/dkhamsing/open-source-ios-apps
rust-unofficial,awesome-rust,33600,https://github.com/rust-unofficial/awesome-rust
DovAmir,awesome-design-patterns,29900,https://github.com/DovAmir/awesome-design-patterns
ziadoz,awesome-php,28400,https://github.com/ziadoz/awesome-php
goabstract,Awesome-Design-Tools,28000,https://github.com/goabstract/Awesome-Design-Tools
herrbischoff,awesome-macos-command-line,27300,https://github.com/herrbischoff/awesome-macos-command-line
alebcay,awesome-shell,27000,https://github.com/alebcay/awesome-shell
AllThingsSmitty,css-protips,25000,https://github.com/AllThingsSmitty/css-protips
lukasz-madon,awesome-remote-job,25000,https://github.com/lukasz-madon/awesome-remote-job
veggiemonk,awesome-docker,24900,https://github.com/veggiemonk/awesome-docker
sindresorhus,awesome-electron,24100,https://github.com/sindresorhus/awesome-electron
ascoders,weekly,23200,https://github.com/ascoders/weekly
matteocrippa,awesome-swift,23100,https://github.com/matteocrippa/awesome-swift
docker,awesome-compose,22400,https://github.com/docker/awesome-compose
viatsko,awesome-vscode,22200,https://github.com/viatsko/awesome-vscode
Awesome-Windows,Awesome,22100,https://github.com/Awesome-Windows/Awesome
tmrts,go-patterns,21700,https://github.com/tmrts/go-patterns
