username,repo_name,stars_count,repo_url
bregman-arie,devops-exercises,41900,https://github.com/bregman-arie/devops-exercises
pulumi,pulumi,15500,https://github.com/pulumi/pulumi
microsoft,recommenders,15400,https://github.com/microsoft/recommenders
ramitsurana,awesome-kubernetes,13700,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,12800,https://github.com/Azure/azure-quickstart-templates
mozilla,sops,12500,https://github.com/mozilla/sops
caprover,caprover,10200,https://github.com/caprover/caprover
google,go-cloud,9000,https://github.com/google/go-cloud
microsoft,computervision-recipes,8900,https://github.com/microsoft/computervision-recipes
infracost,infracost,8900,https://github.com/infracost/infracost
prowler-cloud,prowler,7900,https://github.com/prowler-cloud/prowler
microsoft,azuredatastudio,7100,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,6600,https://github.com/node-formidable/formidable
Netflix,metaflow,6500,https://github.com/Netflix/metaflow
midwayjs,midway,6500,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,5900,https://github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,5700,https://github.com/aquasecurity/tfsec
budtmo,docker-android,5500,https://github.com/budtmo/docker-android
bridgecrewio,checkov,5400,https://github.com/bridgecrewio/checkov
nccgroup,ScoutSuite,5200,https://github.com/nccgroup/ScoutSuite
turbot,steampipe,5000,https://github.com/turbot/steampipe
cloud-custodian,cloud-custodian,4700,https://github.com/cloud-custodian/cloud-custodian
milanm,DevOps-Roadmap,4700,https://github.com/milanm/DevOps-Roadmap
Azure,azure-sdk-for-net,4500,https://github.com/Azure/azure-sdk-for-net
sottlmarek,DevSecOps,4500,https://github.com/sottlmarek/DevSecOps
cloudquery,cloudquery,4300,https://github.com/cloudquery/cloudquery
Azure,autorest,4200,https://github.com/Azure/autorest
learntocloud,learn-to-cloud,4100,https://github.com/learntocloud/learn-to-cloud
microsoft,SynapseML,4000,https://github.com/microsoft/SynapseML
hashicorp,terraform-provider-azurerm,3900,https://github.com/hashicorp/terraform-provider-azurerm
simov,grant,3800,https://github.com/simov/grant
Azure,MachineLearningNotebooks,3700,https://github.com/Azure/MachineLearningNotebooks
encoredev,encore,3600,https://github.com/encoredev/encore
Azure,azure-sdk-for-python,3600,https://github.com/Azure/azure-sdk-for-python
opencost,opencost,3500,https://github.com/opencost/opencost
Azure,azure-powershell,3500,https://github.com/Azure/azure-powershell
Azure,azure-cli,3500,https://github.com/Azure/azure-cli
tailwarden,komiser,3100,https://github.com/tailwarden/komiser
APIs-guru,openapi-directory,3100,https://github.com/APIs-guru/openapi-directory
smartstore,SmartStoreNET,2600,https://github.com/smartstore/SmartStoreNET
