username,repo_name,stars_count,repo_url
files-community,Files,27100,https://github.com/files-community/Files
microsoft,calculator,26900,https://github.com/microsoft/calculator
ShareX,ShareX,23800,https://github.com/ShareX/ShareX
doocs,leetcode,21700,https://github.com/doocs/leetcode
jellyfin,jellyfin,21300,https://github.com/jellyfin/jellyfin
mxgmn,WaveFunctionCollapse,21000,https://github.com/mxgmn/WaveFunctionCollapse
dotnet,corefx,17800,https://github.com/dotnet/corefx
thangchung,awesome-dotnet-core,17700,https://github.com/thangchung/awesome-dotnet-core
AvaloniaUI,Avalonia,17400,https://github.com/AvaloniaUI/Avalonia
dotnet,roslyn,17200,https://github.com/dotnet/roslyn
Ryujinx,Ryujinx,17000,https://github.com/Ryujinx/Ryujinx
quozd,awesome-dotnet,16400,https://github.com/quozd/awesome-dotnet
pulumi,pulumi,15500,https://github.com/pulumi/pulumi
MoienTajik,AspNetCore-Developer-Roadmap,14900,https://github.com/MoienTajik/AspNetCore-Developer-Roadmap
antlr,antlr4,14100,https://github.com/antlr/antlr4
veler,DevToys,13800,https://github.com/veler/DevToys
BeyondDimension,SteamTools,13100,https://github.com/BeyondDimension/SteamTools
serverless-stack,sst,12900,https://github.com/serverless-stack/sst
OpenRA,OpenRA,12600,https://github.com/OpenRA/OpenRA
ardalis,CleanArchitecture,12400,https://github.com/ardalis/CleanArchitecture
bitwarden,server,12200,https://github.com/bitwarden/server
carlospolop,PEASS-ng,11800,https://github.com/carlospolop/PEASS-ng
aspnetboilerplate,aspnetboilerplate,11000,https://github.com/aspnetboilerplate/aspnetboilerplate
rocksdanister,lively,10400,https://github.com/rocksdanister/lively
mono,mono,10400,https://github.com/mono/mono
arthurspk,guiadevbrasil,10000,https://github.com/arthurspk/guiadevbrasil
dotansimha,graphql-code-generator,9900,https://github.com/dotansimha/graphql-code-generator
dotnet,csharplang,9800,https://github.com/dotnet/csharplang
quicktype,quicktype,9700,https://github.com/quicktype/quicktype
abpframework,abp,9700,https://github.com/abpframework/abp
apache,thrift,9600,https://github.com/apache/thrift
MonoGame,MonoGame,9300,https://github.com/MonoGame/MonoGame
JustArchiNET,ArchiSteamFarm,9200,https://github.com/JustArchiNET/ArchiSteamFarm
dotnet,BenchmarkDotNet,8800,https://github.com/dotnet/BenchmarkDotNet
winsw,winsw,8800,https://github.com/winsw/winsw
dtm-labs,dtm,8500,https://github.com/dtm-labs/dtm
Tencent,xLua,8300,https://github.com/Tencent/xLua
gui-cs,Terminal.Gui,8000,https://github.com/gui-cs/Terminal.Gui
AdrienTorris,awesome-blazor,7600,https://github.com/AdrienTorris/awesome-blazor
unoplatform,uno,7600,https://github.com/unoplatform/uno
