username,repo_name,stars_count,repo_url
CyC2018,CS-Notes,163000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,96000,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,50900,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,45000,https://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,40300,https://github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,37200,https://github.com/youngyangyang04/leetcode-master
carbon-language,carbon-lang,30100,https://github.com/carbon-language/carbon-lang
huihut,interview,28300,https://github.com/huihut/interview
microsoft,calculator,26900,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,26600,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yuzu-emu,yuzu,24500,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,23800,https://github.com/TheAlgorithms/C-Plus-Plus
doocs,leetcode,21700,https://github.com/doocs/leetcode
changkun,modern-cpp-tutorial,20400,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,19800,https://github.com/ethereum/solidity
dragonflydb,dragonfly,18500,https://github.com/dragonflydb/dragonfly
microsoft,vcpkg,18200,https://github.com/microsoft/vcpkg
gabime,spdlog,17400,https://github.com/gabime/spdlog
ssloy,tinyrenderer,16500,https://github.com/ssloy/tinyrenderer
catchorg,Catch2,16400,https://github.com/catchorg/Catch2
AnthonyCalandra,modern-cpp-features,15900,https://github.com/AnthonyCalandra/modern-cpp-features
Qv2ray,Qv2ray,15200,https://github.com/Qv2ray/Qv2ray
antlr,antlr4,14100,https://github.com/antlr/antlr4
facebook,infer,13900,https://github.com/facebook/infer
CoatiSoftware,Sourcetrail,13400,https://github.com/CoatiSoftware/Sourcetrail
kyleneideck,BackgroundMusic,13300,https://github.com/kyleneideck/BackgroundMusic
google,tink,13100,https://github.com/google/tink
compiler-explorer,compiler-explorer,12900,https://github.com/compiler-explorer/compiler-explorer
Ciphey,Ciphey,12900,https://github.com/Ciphey/Ciphey
typesense,typesense,12800,https://github.com/typesense/typesense
skyline-emu,skyline,12300,https://github.com/skyline-emu/skyline
polybar,polybar,12300,https://github.com/polybar/polybar
forthespada,CS-Books,12200,https://github.com/forthespada/CS-Books
microsoft,IoT-For-Beginners,12100,https://github.com/microsoft/IoT-For-Beginners
SFTtech,openage,11600,https://github.com/SFTtech/openage
OpenRCT2,OpenRCT2,11600,https://github.com/OpenRCT2/OpenRCT2
questdb,questdb,10800,https://github.com/questdb/questdb
qinguoyi,TinyWebServer,10400,https://github.com/qinguoyi/TinyWebServer
ttroy50,cmake-examples,10300,https://github.com/ttroy50/cmake-examples
hmemcpy,milewski-ctfp-pdf,10100,https://github.com/hmemcpy/milewski-ctfp-pdf
