username,repo_name,stars_count,repo_url
Genymobile,scrcpy,80300,https://github.com/Genymobile/scrcpy
neovim,neovim,64200,https://github.com/neovim/neovim
obsproject,obs-studio,46600,https://github.com/obsproject/obs-studio
git,git,45800,https://github.com/git/git
fffaraz,awesome-cpp,45000,https://github.com/fffaraz/awesome-cpp
FFmpeg,FFmpeg,35200,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,34800,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,29900,https://github.com/vim/vim
curl,curl,29100,https://github.com/curl/curl
huihut,interview,28300,https://github.com/huihut/interview
ggreer,the_silver_searcher,24800,https://github.com/ggreer/the_silver_searcher
pbatard,rufus,22400,https://github.com/pbatard/rufus
mpv-player,mpv,21900,https://github.com/mpv-player/mpv
ossrs,srs,21200,https://github.com/ossrs/srs
ruby,ruby,20100,https://github.com/ruby/ruby
google,flatbuffers,20100,https://github.com/google/flatbuffers
oracle,graal,18400,https://github.com/oracle/graal
microsoft,vcpkg,18200,https://github.com/microsoft/vcpkg
kovidgoyal,kitty,18200,https://github.com/kovidgoyal/kitty
radareorg,radare2,17800,https://github.com/radareorg/radare2
hashcat,hashcat,16900,https://github.com/hashcat/hashcat
jarun,nnn,16000,https://github.com/jarun/nnn
allinurl,goaccess,16000,https://github.com/allinurl/goaccess
TheAlgorithms,C,15900,https://github.com/TheAlgorithms/C
shadowsocks,shadowsocks-libev,15300,https://github.com/shadowsocks/shadowsocks-libev
qmk,qmk_firmware,14700,https://github.com/qmk/qmk_firmware
facebook,infer,13900,https://github.com/facebook/infer
vurtun,nuklear,13500,https://github.com/vurtun/nuklear
CoatiSoftware,Sourcetrail,13400,https://github.com/CoatiSoftware/Sourcetrail
lionsoul2014,ip2region,13100,https://github.com/lionsoul2014/ip2region
skywind3000,kcp,12900,https://github.com/skywind3000/kcp
raysan5,raylib,12500,https://github.com/raysan5/raylib
forthespada,CS-Books,12200,https://github.com/forthespada/CS-Books
reactos,reactos,12200,https://github.com/reactos/reactos
s-matyukevich,raspberry-pi-os,12100,https://github.com/s-matyukevich/raspberry-pi-os
lvgl,lvgl,11700,https://github.com/lvgl/lvgl
OpenRCT2,OpenRCT2,11600,https://github.com/OpenRCT2/OpenRCT2
jonas,tig,11600,https://github.com/jonas/tig
tree-sitter,tree-sitter,11400,https://github.com/tree-sitter/tree-sitter
webview,webview,11000,https://github.com/webview/webview
