username,repo_name,stars_count,repo_url
twbs,bootstrap,163000,https://github.com/twbs/bootstrap
electron,electron,107000,https://github.com/electron/electron
animate-css,animate.css,77400,https://github.com/animate-css/animate.css
FortAwesome,Font-Awesome,71200,https://github.com/FortAwesome/Font-Awesome
microsoft,Web-Dev-For-Beginners,68300,https://github.com/microsoft/Web-Dev-For-Beginners
tailwindlabs,tailwindcss,66800,https://github.com/tailwindlabs/tailwindcss
thedaviddias,Front-End-Checklist,64700,https://github.com/thedaviddias/Front-End-Checklist
h5bp,html5-boilerplate,54200,https://github.com/h5bp/html5-boilerplate
necolas,normalize.css,50100,https://github.com/necolas/normalize.css
jgthms,bulma,47000,https://github.com/jgthms/bulma
prettier,prettier,45200,https://github.com/prettier/prettier
juliangarnier,anime,44800,https://github.com/juliangarnier/anime
parcel-bundler,parcel,42200,https://github.com/parcel-bundler/parcel
vercel,hyper,40600,https://github.com/vercel/hyper
Dogfalo,materialize,38800,https://github.com/Dogfalo/materialize
styled-components,styled-components,38500,https://github.com/styled-components/styled-components
yangshun,front-end-interview-handbook,37000,https://github.com/yangshun/front-end-interview-handbook
evanw,esbuild,35000,https://github.com/evanw/esbuild
Asabeneh,30-Days-Of-JavaScript,34700,https://github.com/Asabeneh/30-Days-Of-JavaScript
tabler,tabler,33600,https://github.com/tabler/tabler
IanLunn,Hover,28300,https://github.com/IanLunn/Hover
postcss,postcss,27400,https://github.com/postcss/postcss
layui,layui,27000,https://github.com/layui/layui
Advanced-Frontend,Daily-Interview-Question,26700,https://github.com/Advanced-Frontend/Daily-Interview-Question
AllThingsSmitty,css-protips,25000,https://github.com/AllThingsSmitty/css-protips
iview,iview,24000,https://github.com/iview/iview
haizlin,fe-interview,23300,https://github.com/haizlin/fe-interview
mdbootstrap,mdb-ui-kit,23200,https://github.com/mdbootstrap/mdb-ui-kit
qianguyihao,Web,23000,https://github.com/qianguyihao/Web
pure-css,pure,22900,https://github.com/pure-css/pure
jlmakes,scrollreveal,21400,https://github.com/jlmakes/scrollreveal
postcss,autoprefixer,20900,https://github.com/postcss/autoprefixer
Asabeneh,30-Days-Of-React,20000,https://github.com/Asabeneh/30-Days-Of-React
novuhq,novu,19800,https://github.com/novuhq/novu
nostalgic-css,NES.css,19600,https://github.com/nostalgic-css/NES.css
saadeghi,daisyui,19400,https://github.com/saadeghi/daisyui
Popmotion,popmotion,19400,https://github.com/Popmotion/popmotion
you-dont-need,You-Dont-Need-JavaScript,18100,https://github.com/you-dont-need/You-Dont-Need-JavaScript
vueComponent,ant-design-vue,17900,https://github.com/vueComponent/ant-design-vue
less,less.js,16900,https://github.com/less/less.js
