username,repo_name,stars_count,repo_url
iamadamdev,bypass-paywalls-chrome,34800,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,23400,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,20700,https://github.com/refined-github/refined-github
darkreader,darkreader,16300,https://github.com/darkreader/darkreader
checkly,headless-recorder,14700,https://github.com/checkly/headless-recorder
unbug,codelf,13500,https://github.com/unbug/codelf
yetone,openai-translator,13200,https://github.com/yetone/openai-translator
wong2,chatgpt-google-extension,12600,https://github.com/wong2/chatgpt-google-extension
dailydotdev,daily,12200,https://github.com/dailydotdev/daily
Anarios,return-youtube-dislike,10900,https://github.com/Anarios/return-youtube-dislike
gildas-lormeau,SingleFile,10700,https://github.com/gildas-lormeau/SingleFile
crimx,ext-saladict,10600,https://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,9900,https://github.com/listen1/listen1_chrome_extension
appbaseio,dejavu,8100,https://github.com/appbaseio/dejavu
alyssaxuu,screenity,8100,https://github.com/alyssaxuu/screenity
Kenshin,simpread,7000,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,6700,https://github.com/ajayyy/SponsorBlock
AutomaApp,automa,6600,https://github.com/AutomaApp/automa
alyssaxuu,omni,6100,https://github.com/alyssaxuu/omni
dessant,buster,5800,https://github.com/dessant/buster
PlasmoHQ,plasmo,5700,https://github.com/PlasmoHQ/plasmo
manojVivek,medium-unlimited,5100,https://github.com/manojVivek/medium-unlimited
webclipper,web-clipper,5000,https://github.com/webclipper/web-clipper
pt-plugins,PT-Plugin-Plus,4700,https://github.com/pt-plugins/PT-Plugin-Plus
josStorer,chatGPTBox,4700,https://github.com/josStorer/chatGPTBox
altair-graphql,altair,4600,https://github.com/altair-graphql/altair
zxlie,FeHelper,4600,https://github.com/zxlie/FeHelper
LasCC,Hack-Tools,4500,https://github.com/LasCC/Hack-Tools
openstyles,stylus,4400,https://github.com/openstyles/stylus
notion-enhancer,notion-enhancer,4100,https://github.com/notion-enhancer/notion-enhancer
hcfyapp,crx-selection-translate,3900,https://github.com/hcfyapp/crx-selection-translate
floccusaddon,floccus,3900,https://github.com/floccusaddon/floccus
iorate,ublacklist,3800,https://github.com/iorate/ublacklist
bilibili-helper,bilibili-helper-o,3800,https://github.com/bilibili-helper/bilibili-helper-o
vinta,pangu.js,3800,https://github.com/vinta/pangu.js
DIYgod,RSSHub-Radar,3800,https://github.com/DIYgod/RSSHub-Radar
dejan,rails_panel,3700,https://github.com/dejan/rails_panel
honestbleeps,Reddit-Enhancement-Suite,3700,https://github.com/honestbleeps/Reddit-Enhancement-Suite
WorldBrain,Memex,3700,https://github.com/WorldBrain/Memex
qunash,chatgpt-advanced,3600,https://github.com/qunash/chatgpt-advanced
