username,repo_name,stars_count,repo_url
electron,electron,107000,https://github.com/electron/electron
puppeteer,puppeteer,82500,https://github.com/puppeteer/puppeteer
microsoft,playwright,49200,https://github.com/microsoft/playwright
FiloSottile,mkcert,40300,https://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,34800,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,23400,https://github.com/jaywcjlove/linux-command
ovity,octotree,22400,https://github.com/ovity/octotree
segmentio,nightmare,19400,https://github.com/segmentio/nightmare
checkly,headless-recorder,14700,https://github.com/checkly/headless-recorder
google,WebFundamentals,13700,https://github.com/google/WebFundamentals
prisma-archive,chromeless,13200,https://github.com/prisma-archive/chromeless
GoogleChrome,chrome-extensions-samples,12000,https://github.com/GoogleChrome/chrome-extensions-samples
casesandberg,react-color,11300,https://github.com/casesandberg/react-color
gildas-lormeau,SingleFile,10700,https://github.com/gildas-lormeau/SingleFile
crimx,ext-saladict,10600,https://github.com/crimx/ext-saladict
MetaMask,metamask-extension,9600,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,8900,https://github.com/chromedp/chromedp
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
moonD4rk,HackBrowserData,7200,https://github.com/moonD4rk/HackBrowserData
Kenshin,simpread,7000,https://github.com/Kenshin/simpread
alvarcarto,url-to-pdf-api,6800,https://github.com/alvarcarto/url-to-pdf-api
ajayyy,SponsorBlock,6700,https://github.com/ajayyy/SponsorBlock
kangvcar,InfoSpider,6600,https://github.com/kangvcar/InfoSpider
alyssaxuu,omni,6100,https://github.com/alyssaxuu/omni
bitwarden,clients,5800,https://github.com/bitwarden/clients
yujiosaka,headless-chrome-crawler,5400,https://github.com/yujiosaka/headless-chrome-crawler
browserless,chrome,5300,https://github.com/browserless/chrome
melonjs,melonJS,5300,https://github.com/melonjs/melonJS
MontFerret,ferret,5300,https://github.com/MontFerret/ferret
themerdev,themer,5100,https://github.com/themerdev/themer
subhra74,xdm,5100,https://github.com/subhra74/xdm
berstend,puppeteer-extra,5000,https://github.com/berstend/puppeteer-extra
firefox-devtools,debugger,4600,https://github.com/firefox-devtools/debugger
brookhong,Surfingkeys,4600,https://github.com/brookhong/Surfingkeys
burtonator,polar-bookshelf,4500,https://github.com/burtonator/polar-bookshelf
ultrafunkamsterdam,undetected-chromedriver,4500,https://github.com/ultrafunkamsterdam/undetected-chromedriver
nieweidong,fetool,4400,https://github.com/nieweidong/fetool
notion-enhancer,notion-enhancer,4100,https://github.com/notion-enhancer/notion-enhancer
jonasstrehle,supercookie,4100,https://github.com/jonasstrehle/supercookie
hcfyapp,crx-selection-translate,3900,https://github.com/hcfyapp/crx-selection-translate
