username,repo_name,stars_count,repo_url
realm,SwiftLint,17200,https://github.com/realm/SwiftLint
facebook,infer,13900,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,11100,https://github.com/analysis-tools-dev/static-analysis
Kristories,awesome-guidelines,8700,https://github.com/Kristories/awesome-guidelines
checkstyle,checkstyle,7600,https://github.com/checkstyle/checkstyle
SonarSource,sonarqube,7600,https://github.com/SonarSource/sonarqube
facebook,pyre-check,6300,https://github.com/facebook/pyre-check
reviewdog,reviewdog,6200,https://github.com/reviewdog/reviewdog
detekt,detekt,5300,https://github.com/detekt/detekt
import-js,eslint-plugin-import,4700,https://github.com/import-js/eslint-plugin-import
pylint-dev,pylint,4600,https://github.com/pylint-dev/pylint
simplecov-ruby,simplecov,4600,https://github.com/simplecov-ruby/simplecov
pmd,pmd,4200,https://github.com/pmd/pmd
trekhleb,state-of-the-art-shitcode,4000,https://github.com/trekhleb/state-of-the-art-shitcode
phpro,grumphp,3900,https://github.com/phpro/grumphp
kucherenko,jscpd,3000,https://github.com/kucherenko/jscpd
htmlhint,HTMLHint,2900,https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,2400,https://github.com/codeclimate/codeclimate
wemake-services,wemake-python-styleguide,2200,https://github.com/wemake-services/wemake-python-styleguide
uber,piranha,2000,https://github.com/uber/piranha
Qihoo360,safe-rules,1500,https://github.com/Qihoo360/safe-rules
Tencent,CodeAnalysis,1400,https://github.com/Tencent/CodeAnalysis
ehmicky,cross-platform-node-guide,1300,https://github.com/ehmicky/cross-platform-node-guide
Tencent,feflow,1300,https://github.com/Tencent/feflow
ehmicky,modern-errors,1300,https://github.com/ehmicky/modern-errors
sourcery-ai,sourcery,1200,https://github.com/sourcery-ai/sourcery
oxsecurity,megalinter,1200,https://github.com/oxsecurity/megalinter
jakzal,phpqa,1100,https://github.com/jakzal/phpqa
crate-ci,typos,1100,https://github.com/crate-ci/typos
mockdeep,typewiz,1100,https://github.com/mockdeep/typewiz
DmytroLitvinov,awesome-flake8-extensions,1100,https://github.com/DmytroLitvinov/awesome-flake8-extensions
imgbot,Imgbot,1100,https://github.com/imgbot/Imgbot
PyCQA,flake8-bugbear,926,https://github.com/PyCQA/flake8-bugbear
Bearer,bearer,920,https://github.com/Bearer/bearer
SonarSource,SonarJS,904,https://github.com/SonarSource/SonarJS
protofire,solhint,892,https://github.com/protofire/solhint
joshuaclayton,unused,868,https://github.com/joshuaclayton/unused
pdepend,pdepend,862,https://github.com/pdepend/pdepend
SonarSource,SonarTS,769,https://github.com/SonarSource/SonarTS
enlightn,enlightn,766,https://github.com/enlightn/enlightn
