username,repo_name,stars_count,repo_url
ovity,octotree,22400,https://github.com/ovity/octotree
gitpod-io,gitpod,10500,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,6200,https://github.com/reviewdog/reviewdog
danger,danger,5100,https://github.com/danger/danger
danger,danger-js,4900,https://github.com/danger/danger-js
joho,awesome-code-review,3900,https://github.com/joho/awesome-code-review
ajinabraham,nodejsscan,2100,https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,2000,https://github.com/microsoft/vscode-pull-request-github
houndci,hound,1900,https://github.com/houndci/hound
mbj,mutant,1900,https://github.com/mbj/mutant
crev-dev,cargo-crev,1800,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1500,https://github.com/reviewboard/reviewboard
Tencent,CodeAnalysis,1400,https://github.com/Tencent/CodeAnalysis
ryanmcdermott,code-review-tips,1300,https://github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,1200,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1200,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,864,https://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,864,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,766,https://github.com/enlightn/enlightn
palantir,policy-bot,600,https://github.com/palantir/policy-bot
mgreiler,code-review-checklist,549,https://github.com/mgreiler/code-review-checklist
bsamseth,cpp-project,542,https://github.com/bsamseth/cpp-project
mookid,diffr,479,https://github.com/mookid/diffr
kxxt,chatgpt-action,472,https://github.com/kxxt/chatgpt-action
uwolfer,gerrit-intellij-plugin,464,https://github.com/uwolfer/gerrit-intellij-plugin
Cyber-Buddy,APKHunt,399,https://github.com/Cyber-Buddy/APKHunt
wandersoncferreira,code-review,382,https://github.com/wandersoncferreira/code-review
JetBrains,Qodana,367,https://github.com/JetBrains/Qodana
watermelontools,watermelon-extension,365,https://github.com/watermelontools/watermelon-extension
erikthedeveloper,code-review-emoji-guide,339,https://github.com/erikthedeveloper/code-review-emoji-guide
dpnishant,raptor,336,https://github.com/dpnishant/raptor
sjparkinson,static-review,327,https://github.com/sjparkinson/static-review
InfuseAI,piperider,305,https://github.com/InfuseAI/piperider
charignon,github-review,292,https://github.com/charignon/github-review
burrito-brothers,shiba,292,https://github.com/burrito-brothers/shiba
Skydio,revup,241,https://github.com/Skydio/revup
sturdy-dev,codeball-action,208,https://github.com/sturdy-dev/codeball-action
oldratlee,software-practice-thoughts,185,https://github.com/oldratlee/software-practice-thoughts
JetBrains,qodana-action,183,https://github.com/JetBrains/qodana-action
reposense,RepoSense,179,https://github.com/reposense/RepoSense
