username,repo_name,stars_count,repo_url
bitcoin,bitcoin,68900,https://github.com/bitcoin/bitcoin
ccxt,ccxt,27700,https://github.com/ccxt/ccxt
freqtrade,freqtrade,21200,https://github.com/freqtrade/freqtrade
OpenBB-finance,OpenBBTerminal,20300,https://github.com/OpenBB-finance/OpenBBTerminal
monero-project,monero,7700,https://github.com/monero-project/monero
xmrig,xmrig,7500,https://github.com/xmrig/xmrig
dvf,blockchain,7300,https://github.com/dvf/blockchain
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
lightningnetwork,lnd,6800,https://github.com/lightningnetwork/lnd
hummingbot,hummingbot,5600,https://github.com/hummingbot/hummingbot
StockSharp,StockSharp,5600,https://github.com/StockSharp/StockSharp
tendermint,tendermint,5500,https://github.com/tendermint/tendermint
sea-protocol,seaprotocol,5200,https://github.com/sea-protocol/seaprotocol
sammchardy,python-binance,5100,https://github.com/sammchardy/python-binance
cosmos,cosmos-sdk,5100,https://github.com/cosmos/cosmos-sdk
mimblewimble,grin,5000,https://github.com/mimblewimble/grin
jesse-ai,jesse,4600,https://github.com/jesse-ai/jesse
chrisleekr,binance-trading-bot,4400,https://github.com/chrisleekr/binance-trading-bot
litecoin-project,litecoin,4200,https://github.com/litecoin-project/litecoin
coinpride,CryptoList,4000,https://github.com/coinpride/CryptoList
itheima1,BlockChain,3900,https://github.com/itheima1/BlockChain
RomelTorres,alpha_vantage,3900,https://github.com/RomelTorres/alpha_vantage
michaelgrosner,tribeca,3800,https://github.com/michaelgrosner/tribeca
Scanate,EthList,3800,https://github.com/Scanate/EthList
input-output-hk,cardano-sl,3800,https://github.com/input-output-hk/cardano-sl
Jeiwan,blockchain_go,3800,https://github.com/Jeiwan/blockchain_go
Zheaoli,awesome-coins,3700,https://github.com/Zheaoli/awesome-coins
status-im,status-mobile,3600,https://github.com/status-im/status-mobile
cointop-sh,cointop,3600,https://github.com/cointop-sh/cointop
nanocurrency,nano-node,3500,https://github.com/nanocurrency/nano-node
Superalgos,Superalgos,3300,https://github.com/Superalgos/Superalgos
firmai,financial-machine-learning,3300,https://github.com/firmai/financial-machine-learning
ctubio,Krypto-trading-bot,3000,https://github.com/ctubio/Krypto-trading-bot
Xel,Blockchain-stuff,2900,https://github.com/Xel/Blockchain-stuff
bcoin-org,bcoin,2800,https://github.com/bcoin-org/bcoin
Haehnchen,crypto-trading-bot,2800,https://github.com/Haehnchen/crypto-trading-bot
tahowallet,extension,2800,https://github.com/tahowallet/extension
polakowo,vectorbt,2700,https://github.com/polakowo/vectorbt
lbryio,lbrycrd,2700,https://github.com/lbryio/lbrycrd
thrasher-corp,gocryptotrader,2600,https://github.com/thrasher-corp/gocryptotrader
