username,repo_name,stars_count,repo_url
crystal-lang,crystal,18300,https://github.com/crystal-lang/crystal
kemalcr,kemal,3500,https://github.com/kemalcr/kemal
veelenga,awesome-crystal,3100,https://github.com/veelenga/awesome-crystal
amberframework,amber,2500,https://github.com/amberframework/amber
luckyframework,lucky,2400,https://github.com/luckyframework/lucky
getmango,Mango,1400,https://github.com/getmango/Mango
ffwff,lilith,1100,https://github.com/ffwff/lilith
drujensen,fib,809,https://github.com/drujensen/fib
vitobotta,hetzner-k3s,755,https://github.com/vitobotta/hetzner-k3s
amethyst-framework,amethyst,646,https://github.com/amethyst-framework/amethyst
askn,crystal-by-example,537,https://github.com/askn/crystal-by-example
crystal-community,icr,492,https://github.com/crystal-community/icr
crystal-ameba,ameba,462,https://github.com/crystal-ameba/ameba
will,crystal-pg,432,https://github.com/will/crystal-pg
vim-crystal,vim-crystal,396,https://github.com/vim-crystal/vim-crystal
imdrasil,jennifer.cr,390,https://github.com/imdrasil/jennifer.cr
hanabi1224,Programming-Language-Benchmarks,387,https://github.com/hanabi1224/Programming-Language-Benchmarks
stefanwille,crystal-redis,377,https://github.com/stefanwille/crystal-redis
crystal-lang,crystal-book,362,https://github.com/crystal-lang/crystal-book
cooperhammond,irs,357,https://github.com/cooperhammond/irs
Crecto,crecto,342,https://github.com/Crecto/crecto
elbywan,crystalline,336,https://github.com/elbywan/crystalline
crystal-lang-tools,scry,335,https://github.com/crystal-lang-tools/scry
oprypin,crsfml,330,https://github.com/oprypin/crsfml
Hentioe,policr,301,https://github.com/Hentioe/policr
martenframework,marten,300,https://github.com/martenframework/marten
crystal-community,crystal-patterns,283,https://github.com/crystal-community/crystal-patterns
toddsundsted,ktistec,282,https://github.com/toddsundsted/ktistec
iGenius-Srl,IGColorPicker,274,https://github.com/iGenius-Srl/IGColorPicker
samueleaton,sentry,272,https://github.com/samueleaton/sentry
anykeyh,clear,269,https://github.com/anykeyh/clear
amberframework,granite,268,https://github.com/amberframework/granite
crystal-lang,crystal-db,265,https://github.com/crystal-lang/crystal-db
tbrand,router.cr,255,https://github.com/tbrand/router.cr
costajob,app-servers,254,https://github.com/costajob/app-servers
grip-framework,grip,252,https://github.com/grip-framework/grip
crystal-lang-tools,vscode-crystal-lang,249,https://github.com/crystal-lang-tools/vscode-crystal-lang
xyproto,sdl2-examples,243,https://github.com/xyproto/sdl2-examples
jeromegn,slang,230,https://github.com/jeromegn/slang
noahlh,celestite,222,https://github.com/noahlh/celestite
