username,repo_name,stars_count,repo_url
jwasham,coding-interview-university,253000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,166000,https://github.com/trekhleb/javascript-algorithms
labuladong,fucking-algorithm,115000,https://github.com/labuladong/fucking-algorithm
TheAlgorithms,Java,50900,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,50900,https://github.com/azl397985856/leetcode
huihut,interview,28300,https://github.com/huihut/interview
kodecocodes,swift-algorithm-club,27600,https://github.com/kodecocodes/swift-algorithm-club
TheAlgorithms,JavaScript,25900,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,23800,https://github.com/TheAlgorithms/C-Plus-Plus
TheAlgorithms,C,15900,https://github.com/TheAlgorithms/C
TheAlgorithms,Rust,15100,https://github.com/TheAlgorithms/Rust
OI-wiki,OI-wiki,13800,https://github.com/OI-wiki/OI-wiki
TheAlgorithms,Go,12300,https://github.com/TheAlgorithms/Go
kunal-kushwaha,DSA-Bootcamp-Java,11200,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
careercup,CtCI-6th-Edition,10600,https://github.com/careercup/CtCI-6th-Edition
gyoogle,tech-interview-for-developer,10100,https://github.com/gyoogle/tech-interview-for-developer
krahets,hello-algo,9200,https://github.com/krahets/hello-algo
AkashSingh3031,The-Complete-FAANG-Preparation,8900,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
seanprashad,leetcode-patterns,8100,https://github.com/seanprashad/leetcode-patterns
changgyhub,leetcode_101,7200,https://github.com/changgyhub/leetcode_101
amejiarosario,dsa.js-data-structures-algorithms-javascript,7200,https://github.com/amejiarosario/dsa.js-data-structures-algorithms-javascript
twowaits,SDE-Interview-Questions,6500,https://github.com/twowaits/SDE-Interview-Questions
mahmoud,boltons,6100,https://github.com/mahmoud/boltons
grandyang,leetcode,6000,https://github.com/grandyang/leetcode
crossbeam-rs,crossbeam,6000,https://github.com/crossbeam-rs/crossbeam
oramasearch,orama,5600,https://github.com/oramasearch/orama
aalhour,C-Sharp-Algorithms,5400,https://github.com/aalhour/C-Sharp-Algorithms
mandliya,algorithms_and_data_structures,5300,https://github.com/mandliya/algorithms_and_data_structures
TheAlgorithms,C-Sharp,5200,https://github.com/TheAlgorithms/C-Sharp
teivah,algodeck,5100,https://github.com/teivah/algodeck
soapyigu,LeetCode-Swift,4600,https://github.com/soapyigu/LeetCode-Swift
cp-algorithms,cp-algorithms,4400,https://github.com/cp-algorithms/cp-algorithms
OmkarPathak,pygorithm,4300,https://github.com/OmkarPathak/pygorithm
phishman3579,java-algorithms-implementation,4200,https://github.com/phishman3579/java-algorithms-implementation
TomWright,dasel,4100,https://github.com/TomWright/dasel
loiane,javascript-datastructures-algorithms,4100,https://github.com/loiane/javascript-datastructures-algorithms
NotFound9,interviewGuide,3700,https://github.com/NotFound9/interviewGuide
flower-corp,rosedb,3600,https://github.com/flower-corp/rosedb
felipernb,algorithms.js,3600,https://github.com/felipernb/algorithms.js
fishercoder1534,Leetcode,3500,https://github.com/fishercoder1534/Leetcode
