username,repo_name,stars_count,repo_url
d3,d3,105000,https://github.com/d3/d3
grafana,grafana,54700,https://github.com/grafana/grafana
apache,echarts,54700,https://github.com/apache/echarts
apache,superset,51200,https://github.com/apache/superset
pixijs,pixijs,39400,https://github.com/pixijs/pixijs
metabase,metabase,31900,https://github.com/metabase/metabase
streamlit,streamlit,23600,https://github.com/streamlit/streamlit
academic,awesome-datascience,21000,https://github.com/academic/awesome-datascience
directus,directus,20800,https://github.com/directus/directus
microsoft,Data-Science-For-Beginners,18500,https://github.com/microsoft/Data-Science-For-Beginners
plotly,dash,18400,https://github.com/plotly/dash
matplotlib,matplotlib,17100,https://github.com/matplotlib/matplotlib
airbnb,visx,16900,https://github.com/airbnb/visx
plotly,plotly.js,15500,https://github.com/plotly/plotly.js
gradio-app,gradio,14900,https://github.com/gradio-app/gradio
ml-tooling,best-of-ml-python,13200,https://github.com/ml-tooling/best-of-ml-python
apexcharts,apexcharts.js,12400,https://github.com/apexcharts/apexcharts.js
newTendermint,awesome-bigdata,11800,https://github.com/newTendermint/awesome-bigdata
terkelg,awesome-creative-coding,10800,https://github.com/terkelg/awesome-creative-coding
visgl,deck.gl,10700,https://github.com/visgl/deck.gl
mwaskom,seaborn,10500,https://github.com/mwaskom/seaborn
FormidableLabs,victory,10200,https://github.com/FormidableLabs/victory
antvis,G6,9700,https://github.com/antvis/G6
dataease,dataease,9400,https://github.com/dataease/dataease
keplergl,kepler.gl,9300,https://github.com/keplergl/kepler.gl
c3js,c3,9300,https://github.com/c3js/c3
uber,react-vis,8500,https://github.com/uber/react-vis
rawgraphs,rawgraphs-app,8300,https://github.com/rawgraphs/rawgraphs-app
antvis,F2,7800,https://github.com/antvis/F2
leeoniya,uPlot,7700,https://github.com/leeoniya/uPlot
PAIR-code,facets,7100,https://github.com/PAIR-code/facets
visgl,react-map-gl,7100,https://github.com/visgl/react-map-gl
NorthwoodsSoftware,GoJS,6800,https://github.com/NorthwoodsSoftware/GoJS
sourcerer-io,sourcerer-app,6700,https://github.com/sourcerer-io/sourcerer-app
jwilber,roughViz,6500,https://github.com/jwilber/roughViz
python-visualization,folium,6200,https://github.com/python-visualization/folium
alibaba,BizCharts,6000,https://github.com/alibaba/BizCharts
microsoft,SandDance,6000,https://github.com/microsoft/SandDance
pa7,heatmap.js,5900,https://github.com/pa7/heatmap.js
reactchartjs,react-chartjs-2,5800,https://github.com/reactchartjs/react-chartjs-2
