username,repo_name,stars_count,repo_url
etcd-io,etcd,43000,https://github.com/etcd-io/etcd
meilisearch,meilisearch,35300,https://github.com/meilisearch/meilisearch
pingcap,tidb,33700,https://github.com/pingcap/tidb
LeCoupa,awesome-cheatsheets,33000,https://github.com/LeCoupa/awesome-cheatsheets
SheetJS,sheetjs,32600,https://github.com/SheetJS/sheetjs
metabase,metabase,31900,https://github.com/metabase/metabase
dbeaver,dbeaver,31300,https://github.com/dbeaver/dbeaver
typeorm,typeorm,30900,https://github.com/typeorm/typeorm
prisma,prisma,30200,https://github.com/prisma/prisma
huihut,interview,28300,https://github.com/huihut/interview
cockroachdb,cockroach,26900,https://github.com/cockroachdb/cockroach
sqlmapproject,sqlmap,26600,https://github.com/sqlmapproject/sqlmap
influxdata,influxdb,25200,https://github.com/influxdata/influxdb
facebook,rocksdb,24900,https://github.com/facebook/rocksdb
mongodb,mongo,23500,https://github.com/mongodb/mongo
taosdata,TDengine,21100,https://github.com/taosdata/TDengine
directus,directus,20800,https://github.com/directus/directus
PostgREST,postgrest,20300,https://github.com/PostgREST/postgrest
typicode,lowdb,19300,https://github.com/typicode/lowdb
surrealdb,surrealdb,19200,https://github.com/surrealdb/surrealdb
dgraph-io,dgraph,19100,https://github.com/dgraph-io/dgraph
pubkey,rxdb,19000,https://github.com/pubkey/rxdb
apache,shardingsphere,18200,https://github.com/apache/shardingsphere
valeriansaliou,sonic,18000,https://github.com/valeriansaliou/sonic
sqlitebrowser,sqlitebrowser,17900,https://github.com/sqlitebrowser/sqlitebrowser
Vonng,ddia,17200,https://github.com/Vonng/ddia
amark,gun,17100,https://github.com/amark/gun
prisma,prisma1,16700,https://github.com/prisma/prisma1
realm,realm-swift,15800,https://github.com/realm/realm-swift
pouchdb,pouchdb,15600,https://github.com/pouchdb/pouchdb
timescale,timescaledb,14800,https://github.com/timescale/timescaledb
dolthub,dolt,14500,https://github.com/dolthub/dolt
boltdb,bolt,13500,https://github.com/boltdb/bolt
rqlite,rqlite,13400,https://github.com/rqlite/rqlite
go-sql-driver,mysql,13200,https://github.com/go-sql-driver/mysql
arangodb,arangodb,12900,https://github.com/arangodb/arangodb
typesense,typesense,12800,https://github.com/typesense/typesense
beekeeper-studio,beekeeper-studio,12700,https://github.com/beekeeper-studio/beekeeper-studio
dotnet,efcore,12400,https://github.com/dotnet/efcore
forthespada,CS-Books,12200,https://github.com/forthespada/CS-Books
