username,repo_name,stars_count,repo_url
GetStream,vg,1300,https://github.com/GetStream/vg
pointfreeco,swift-dependencies,792,https://github.com/pointfreeco/swift-dependencies
ehmicky,nve,611,https://github.com/ehmicky/nve
coenjacobs,mozart,370,https://github.com/coenjacobs/mozart
thoth-station,micropipenv,209,https://github.com/thoth-station/micropipenv
bureado,awesome-software-supply-chain-security,152,https://github.com/bureado/awesome-software-supply-chain-security
netlify,framework-info,129,https://github.com/netlify/framework-info
aaronpeikert,reproducible-research,118,https://github.com/aaronpeikert/reproducible-research
momosecurity,mosec-maven-plugin,89,https://github.com/momosecurity/mosec-maven-plugin
pichillilorenzo,deps-report,86,https://github.com/pichillilorenzo/deps-report
silverwind,updates,82,https://github.com/silverwind/updates
abdes,asap,79,https://github.com/abdes/asap
stempler,bnd-platform,79,https://github.com/stempler/bnd-platform
pilosus,pip-license-checker,61,https://github.com/pilosus/pip-license-checker
saadmk11,github-actions-version-updater,54,https://github.com/saadmk11/github-actions-version-updater
Zlagi,Blogfy,54,https://github.com/Zlagi/Blogfy
MarcoEidinger,swift-package-dependencies-check,51,https://github.com/MarcoEidinger/swift-package-dependencies-check
ewohltman,graphdot,50,https://github.com/ewohltman/graphdot
kevcodez,gradle-upgrade-interactive,49,https://github.com/kevcodez/gradle-upgrade-interactive
depscloud,depscloud,43,https://github.com/depscloud/depscloud
pilosus,action-pip-license-checker,41,https://github.com/pilosus/action-pip-license-checker
ehmicky,get-bin-path,35,https://github.com/ehmicky/get-bin-path
fkorotkov,gradle-libraries-plugin,32,https://github.com/fkorotkov/gradle-libraries-plugin
ehmicky,nvexeca,32,https://github.com/ehmicky/nvexeca
ecoAPM,dotnet-libyear,31,https://github.com/ecoAPM/dotnet-libyear
nikhil-thakkar,multi-module-dependency-setup,28,https://github.com/nikhil-thakkar/multi-module-dependency-setup
momosecurity,mosec-gradle-plugin,24,https://github.com/momosecurity/mosec-gradle-plugin
momosecurity,mosec-composer-plugin,22,https://github.com/momosecurity/mosec-composer-plugin
scalacenter,sbt-eviction-rules,21,https://github.com/scalacenter/sbt-eviction-rules
momosecurity,mosec-pip-plugin,21,https://github.com/momosecurity/mosec-pip-plugin
subelsky,dim,20,https://github.com/subelsky/dim
ehmicky,get-node,19,https://github.com/ehmicky/get-node
momosecurity,mosec-node-plugin,18,https://github.com/momosecurity/mosec-node-plugin
thoth-station,prescriptions,14,https://github.com/thoth-station/prescriptions
ecoAPM,php-libyear,13,https://github.com/ecoAPM/php-libyear
ehmicky,node-version-alias,12,https://github.com/ehmicky/node-version-alias
mikroskeem,PicoMaven,9,https://github.com/mikroskeem/PicoMaven
ehmicky,all-node-versions,9,https://github.com/ehmicky/all-node-versions
ehmicky,preferred-node-version,9,https://github.com/ehmicky/preferred-node-version
Makeshift,generate-dependabot-glob-action,8,https://github.com/Makeshift/generate-dependabot-glob-action
