username,repo_name,stars_count,repo_url
django,django,69600,https://github.com/django/django
getsentry,sentry,33800,https://github.com/getsentry/sentry
LeCoupa,awesome-cheatsheets,33000,https://github.com/LeCoupa/awesome-cheatsheets
encode,django-rest-framework,25300,https://github.com/encode/django-rest-framework
kataras,iris,23800,https://github.com/kataras/iris
jumpserver,jumpserver,20200,https://github.com/jumpserver/jumpserver
saleor,saleor,18300,https://github.com/saleor/saleor
wagtail,wagtail,14500,https://github.com/wagtail/wagtail
ansible,awx,12100,https://github.com/ansible/awx
Miserlou,Zappa,11900,https://github.com/Miserlou/Zappa
cookiecutter,cookiecutter-django,10300,https://github.com/cookiecutter/cookiecutter-django
django-cms,django-cms,9200,https://github.com/django-cms/django-cms
wsvincent,awesome-django,6800,https://github.com/wsvincent/awesome-django
healthchecks,healthchecks,6100,https://github.com/healthchecks/healthchecks
django-oscar,django-oscar,5700,https://github.com/django-oscar/django-oscar
graphite-project,graphite-web,5600,https://github.com/graphite-project/graphite-web
arachnys,cabot,5400,https://github.com/arachnys/cabot
jonaswinkler,paperless-ng,5400,https://github.com/jonaswinkler/paperless-ng
LibrePhotos,librephotos,5300,https://github.com/LibrePhotos/librephotos
QingdaoU,OnlineJudge,5300,https://github.com/QingdaoU/OnlineJudge
liangliangyy,DjangoBlog,5300,https://github.com/liangliangyy/DjangoBlog
joerick,pyinstrument,5200,https://github.com/joerick/pyinstrument
vitalik,django-ninja,4200,https://github.com/vitalik/django-ninja
graphql-python,graphene-django,4100,https://github.com/graphql-python/graphene-django
TandoorRecipes,recipes,3900,https://github.com/TandoorRecipes/recipes
lepture,authlib,3600,https://github.com/lepture/authlib
WeblateOrg,weblate,3500,https://github.com/WeblateOrg/weblate
geex-arts,django-jet,3400,https://github.com/geex-arts/django-jet
jpadilla,django-rest-framework-jwt,3200,https://github.com/jpadilla/django-rest-framework-jwt
guohongze,adminset,3100,https://github.com/guohongze/adminset
FactoryBoy,factory_boy,3100,https://github.com/FactoryBoy/factory_boy
axnsan12,drf-yasg,3100,https://github.com/axnsan12/drf-yasg
strawberry-graphql,strawberry,3100,https://github.com/strawberry-graphql/strawberry
awesto,django-shop,3000,https://github.com/awesto/django-shop
dynaconf,dynaconf,3000,https://github.com/dynaconf/dynaconf
Gerapy,Gerapy,2900,https://github.com/Gerapy/Gerapy
newpanjing,simpleui,2900,https://github.com/newpanjing/simpleui
Ehco1996,django-sspanel,2900,https://github.com/Ehco1996/django-sspanel
pinry,pinry,2800,https://github.com/pinry/pinry
jazzband,django-oauth-toolkit,2800,https://github.com/jazzband/django-oauth-toolkit
