username,repo_name,stars_count,repo_url
airbnb,javascript,133000,https://github.com/airbnb/javascript
goldbergyoni,nodebestpractices,87700,https://github.com/goldbergyoni/nodebestpractices
standard,standard,28000,https://github.com/standard/standard
eslint,eslint,22400,https://github.com/eslint/eslint
electron-react-boilerplate,electron-react-boilerplate,21100,https://github.com/electron-react-boilerplate/electron-react-boilerplate
verekia,js-stack-from-scratch,19800,https://github.com/verekia/js-stack-from-scratch
grab,front-end-guide,14800,https://github.com/grab/front-end-guide
typescript-eslint,typescript-eslint,13100,https://github.com/typescript-eslint/typescript-eslint
okonet,lint-staged,11600,https://github.com/okonet/lint-staged
jsx-eslint,eslint-plugin-react,8400,https://github.com/jsx-eslint/eslint-plugin-react
xojs,xo,7100,https://github.com/xojs/xo
microsoft,rushstack,4900,https://github.com/microsoft/rushstack
import-js,eslint-plugin-import,4700,https://github.com/import-js/eslint-plugin-import
bartonhammond,snowflake,4600,https://github.com/bartonhammond/snowflake
prettier,eslint-config-prettier,4500,https://github.com/prettier/eslint-config-prettier
emacs-lsp,lsp-mode,4400,https://github.com/emacs-lsp/lsp-mode
themesberg,flowbite,4200,https://github.com/themesberg/flowbite
vuejs,eslint-plugin-vue,4000,https://github.com/vuejs/eslint-plugin-vue
prettier,prettier-eslint,3700,https://github.com/prettier/prettier-eslint
ixartz,Next-js-Boilerplate,3700,https://github.com/ixartz/Next-js-Boilerplate
dustinspecker,awesome-eslint,3500,https://github.com/dustinspecker/awesome-eslint
jsx-eslint,eslint-plugin-jsx-a11y,3100,https://github.com/jsx-eslint/eslint-plugin-jsx-a11y
sindresorhus,eslint-plugin-unicorn,3100,https://github.com/sindresorhus/eslint-plugin-unicorn
babel,babel-eslint,3000,https://github.com/babel/babel-eslint
amilajack,eslint-plugin-compat,2900,https://github.com/amilajack/eslint-plugin-compat
kunalkapadia,express-mongoose-es6-rest-api,2900,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
wesbos,eslint-config-wesbos,2600,https://github.com/wesbos/eslint-config-wesbos
nas5w,100-days-of-code-frontend,2600,https://github.com/nas5w/100-days-of-code-frontend
AlloyTeam,eslint-config-alloy,2500,https://github.com/AlloyTeam/eslint-config-alloy
standard,eslint-config-standard,2400,https://github.com/standard/eslint-config-standard
steven-tey,precedent,2300,https://github.com/steven-tey/precedent
suanmei,callapp-lib,2200,https://github.com/suanmei/callapp-lib
jsynowiec,node-typescript-boilerplate,2000,https://github.com/jsynowiec/node-typescript-boilerplate
ljlm0402,typescript-express-starter,2000,https://github.com/ljlm0402/typescript-express-starter
TypeStrong,fork-ts-checker-webpack-plugin,1800,https://github.com/TypeStrong/fork-ts-checker-webpack-plugin
lin-123,javascript,1800,https://github.com/lin-123/javascript
theodorusclarence,ts-nextjs-tailwind-starter,1800,https://github.com/theodorusclarence/ts-nextjs-tailwind-starter
ericalli,static-site-boilerplate,1700,https://github.com/ericalli/static-site-boilerplate
graphile,starter,1500,https://github.com/graphile/starter
Kocal,vue-web-extension,1500,https://github.com/Kocal/vue-web-extension
