username,repo_name,stars_count,repo_url
microsoft,vscode,144000,https://github.com/microsoft/vscode
electron,electron,107000,https://github.com/electron/electron
atom,atom,59300,https://github.com/atom/atom
Fndroid,clash_for_windows_pkg,49800,https://github.com/Fndroid/clash_for_windows_pkg
microsoft,playwright,49200,https://github.com/microsoft/playwright
marktext,marktext,39200,https://github.com/marktext/marktext
GitSquared,edex-ui,36800,https://github.com/GitSquared/edex-ui
agalwood,Motrix,36400,https://github.com/agalwood/Motrix
laurent22,joplin,35200,https://github.com/laurent22/joplin
nativefier,nativefier,33300,https://github.com/nativefier/nativefier
typeorm,typeorm,30900,https://github.com/typeorm/typeorm
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
sindresorhus,awesome-electron,24100,https://github.com/sindresorhus/awesome-electron
quasarframework,quasar,23200,https://github.com/quasarframework/quasar
qier222,YesPlayMusic,22600,https://github.com/qier222/YesPlayMusic
notable,notable,21500,https://github.com/notable/notable
electron-react-boilerplate,electron-react-boilerplate,21100,https://github.com/electron-react-boilerplate/electron-react-boilerplate
zadam,trilium,20600,https://github.com/zadam/trilium
Molunerfinn,PicGo,20100,https://github.com/Molunerfinn/PicGo
oldj,SwitchHosts,19800,https://github.com/oldj/SwitchHosts
responsively-org,responsively-app,19500,https://github.com/responsively-org/responsively-app
railsware,upterm,19400,https://github.com/railsware/upterm
segmentio,nightmare,19400,https://github.com/segmentio/nightmare
typicode,lowdb,19300,https://github.com/typicode/lowdb
eclipse-theia,theia,17900,https://github.com/eclipse-theia/theia
zulip,zulip,17500,https://github.com/zulip/zulip
BoostIO,BoostNote-Legacy,17200,https://github.com/BoostIO/BoostNote-Legacy
desktop,desktop,17000,https://github.com/desktop/desktop
wulkano,Kap,16300,https://github.com/wulkano/Kap
SimulatedGREG,electron-vue,15300,https://github.com/SimulatedGREG/electron-vue
pavlobu,deskreen,14000,https://github.com/pavlobu/deskreen
Foundry376,Mailspring,13900,https://github.com/Foundry376/Mailspring
geeeeeeeeek,electronic-wechat,13900,https://github.com/geeeeeeeeek/electronic-wechat
beekeeper-studio,beekeeper-studio,12700,https://github.com/beekeeper-studio/beekeeper-studio
electron-userland,electron-builder,12700,https://github.com/electron-userland/electron-builder
Hunlongyu,ZY-Player,12600,https://github.com/Hunlongyu/ZY-Player
docmirror,dev-sidecar,12400,https://github.com/docmirror/dev-sidecar
docker,kitematic,12300,https://github.com/docker/kitematic
xiandanin,magnetW,12100,https://github.com/xiandanin/magnetW
keeweb,keeweb,11500,https://github.com/keeweb/keeweb
