username,repo_name,stars_count,repo_url
phoenixframework,phoenix,19400,https://github.com/phoenixframework/phoenix
asdf-vm,asdf,17200,https://github.com/asdf-vm/asdf
plausible,analytics,14300,https://github.com/plausible/analytics
benawad,dogehouse,9200,https://github.com/benawad/dogehouse
lk-geimfari,awesomo,8900,https://github.com/lk-geimfari/awesomo
oldratlee,translations,6500,https://github.com/oldratlee/translations
supabase,realtime,5800,https://github.com/supabase/realtime
papercups-io,papercups,5200,https://github.com/papercups-io/papercups
rrrene,credo,4600,https://github.com/rrrene/credo
christopheradams,elixir_style_guide,4200,https://github.com/christopheradams/elixir_style_guide
absinthe-graphql,absinthe,4100,https://github.com/absinthe-graphql/absinthe
firezone,firezone,3900,https://github.com/firezone/firezone
rusterlium,rustler,3700,https://github.com/rusterlium/rustler
livebook-dev,livebook,3400,https://github.com/livebook-dev/livebook
elixirschool,elixirschool,3400,https://github.com/elixirschool/elixirschool
ueberauth,guardian,3300,https://github.com/ueberauth/guardian
dependabot,dependabot-core,3300,https://github.com/dependabot/dependabot-core
bitwalker,distillery,2900,https://github.com/bitwalker/distillery
thechangelog,changelog.com,2500,https://github.com/thechangelog/changelog.com
ergo-services,ergo,2400,https://github.com/ergo-services/ergo
blockscout,blockscout,2400,https://github.com/blockscout/blockscout
edgurgel,httpoison,2100,https://github.com/edgurgel/httpoison
elixir-nx,nx,2100,https://github.com/elixir-nx/nx
quantum-elixir,quantum-core,2100,https://github.com/quantum-elixir/quantum-core
dashbitco,broadway,2000,https://github.com/dashbitco/broadway
nerves-project,nerves,2000,https://github.com/nerves-project/nerves
devinus,poison,2000,https://github.com/devinus/poison
elixirkoans,elixir-koans,2000,https://github.com/elixirkoans/elixir-koans
thoughtbot,bamboo,1900,https://github.com/thoughtbot/bamboo
philss,floki,1800,https://github.com/philss/floki
extism,extism,1800,https://github.com/extism/extism
elixir-tesla,tesla,1800,https://github.com/elixir-tesla/tesla
thoughtbot,ex_machina,1800,https://github.com/thoughtbot/ex_machina
bitwalker,libcluster,1700,https://github.com/bitwalker/libcluster
commanded,commanded,1700,https://github.com/commanded/commanded
bitwalker,timex,1700,https://github.com/bitwalker/timex
KronicDeth,intellij-elixir,1700,https://github.com/KronicDeth/intellij-elixir
netgusto,nodebook,1600,https://github.com/netgusto/nodebook
discord,manifold,1600,https://github.com/discord/manifold
elixirscript,elixirscript,1500,https://github.com/elixirscript/elixirscript
