username,repo_name,stars_count,repo_url
Textualize,rich,42700,https://github.com/Textualize/rich
marktext,marktext,39200,https://github.com/marktext/marktext
twitter,twemoji,15600,https://github.com/twitter/twemoji
carloscuesta,gitmoji,13700,https://github.com/carloscuesta/gitmoji
ikatyang,emoji-cheat-sheet,9900,https://github.com/ikatyang/emoji-cheat-sheet
tindy2013,subconverter,8600,https://github.com/tindy2013/subconverter
microsoft,fluentui-emoji,7500,https://github.com/microsoft/fluentui-emoji
missive,emoji-mart,7100,https://github.com/missive/emoji-mart
github,gemoji,4200,https://github.com/github/gemoji
carloscuesta,gitmoji-cli,4200,https://github.com/carloscuesta/gitmoji-cli
coding,Coding-iOS,3800,https://github.com/coding/Coding-iOS
burhanrashid52,PhotoEditor,3600,https://github.com/burhanrashid52/PhotoEditor
twitter,twitter-text,3000,https://github.com/twitter/twitter-text
MariaLetta,free-gophers-pack,2900,https://github.com/MariaLetta/free-gophers-pack
hfg-gmuend,openmoji,2600,https://github.com/hfg-gmuend/openmoji
iuricode,padroes-de-commits,2500,https://github.com/iuricode/padroes-de-commits
iconify,iconify,2400,https://github.com/iconify/iconify
getActivity,EmojiPackage,2400,https://github.com/getActivity/EmojiPackage
muan,emoji,2200,https://github.com/muan/emoji
muan,mojibar,2000,https://github.com/muan/mojibar
liuchengxu,git-commit-emoji-cn,1800,https://github.com/liuchengxu/git-commit-emoji-cn
carpedm20,emoji,1600,https://github.com/carpedm20/emoji
mathiasbynens,emoji-regex,1600,https://github.com/mathiasbynens/emoji-regex
muan,emojilib,1500,https://github.com/muan/emojilib
13rac1,twemoji-color-font,1400,https://github.com/13rac1/twemoji-color-font
vanniktech,Emoji,1400,https://github.com/vanniktech/Emoji
thedevelobear,react-rewards,1400,https://github.com/thedevelobear/react-rewards
lambtron,emojipacks,1300,https://github.com/lambtron/emojipacks
ritz078,embed-js,1300,https://github.com/ritz078/embed-js
Jolg42,awesome-typography,1200,https://github.com/Jolg42/awesome-typography
contour-terminal,contour,1200,https://github.com/contour-terminal/contour
omnidan,node-emoji,1100,https://github.com/omnidan/node-emoji
joeattardi,picmo,1100,https://github.com/joeattardi/picmo
slashsbin,styleguide-git-commit-message,992,https://github.com/slashsbin/styleguide-git-commit-message
simonbs,SBSAnimoji,976,https://github.com/simonbs/SBSAnimoji
KeyboardKit,KeyboardKit,972,https://github.com/KeyboardKit/KeyboardKit
milesj,interweave,947,https://github.com/milesj/interweave
nolanlawson,emoji-picker-element,944,https://github.com/nolanlawson/emoji-picker-element
opensource-socialnetwork,opensource-socialnetwork,943,https://github.com/opensource-socialnetwork/opensource-socialnetwork
annexare,Countries,938,https://github.com/annexare/Countries
