username,repo_name,stars_count,repo_url
yuzu-emu,yuzu,24500,https://github.com/yuzu-emu/yuzu
copy,v86,17500,https://github.com/copy/v86
Ryujinx,Ryujinx,17000,https://github.com/Ryujinx/Ryujinx
OpenEmu,OpenEmu,14800,https://github.com/OpenEmu/OpenEmu
ish-app,ish,13700,https://github.com/ish-app/ish
skyline-emu,skyline,12300,https://github.com/skyline-emu/skyline
ruffle-rs,ruffle,12100,https://github.com/ruffle-rs/ruffle
dolphin-emu,dolphin,9700,https://github.com/dolphin-emu/dolphin
citra-emu,citra,8300,https://github.com/citra-emu/citra
PCSX2,pcsx2,8200,https://github.com/PCSX2/pcsx2
amitshekhariitbhu,Android-Debug-Database,8200,https://github.com/amitshekhariitbhu/Android-Debug-Database
felixrieseberg,macintosh.js,8000,https://github.com/felixrieseberg/macintosh.js
xenia-project,xenia,6700,https://github.com/xenia-project/xenia
unicorn-engine,unicorn,6200,https://github.com/unicorn-engine/unicorn
bfirsh,jsnes,5700,https://github.com/bfirsh/jsnes
budtmo,docker-android,5500,https://github.com/budtmo/docker-android
Provenance-Emu,Provenance,5200,https://github.com/Provenance-Emu/Provenance
mininet,mininet,4800,https://github.com/mininet/mininet
stenzek,duckstation,4700,https://github.com/stenzek/duckstation
cemu-project,Cemu,4500,https://github.com/cemu-project/Cemu
HFO4,gameboy.live,4500,https://github.com/HFO4/gameboy.live
amhndu,SimpleNES,4300,https://github.com/amhndu/SimpleNES
CalebFenton,simplify,4100,https://github.com/CalebFenton/simplify
qilingframework,qiling,3900,https://github.com/qilingframework/qiling
Baekalfen,PyBoy,3800,https://github.com/Baekalfen/PyBoy
cea-sec,miasm,3000,https://github.com/cea-sec/miasm
azerothcore,azerothcore-wotlk,2900,https://github.com/azerothcore/azerothcore-wotlk
jcubic,jquery.terminal,2900,https://github.com/jcubic/jquery.terminal
JonathanSalwan,Triton,2700,https://github.com/JonathanSalwan/Triton
Vita3K,Vita3K,2700,https://github.com/Vita3K/Vita3K
zhkl0228,unidbg,2700,https://github.com/zhkl0228/unidbg
Humpheh,goboy,2500,https://github.com/Humpheh/goboy
cksystemsteaching,selfie,2200,https://github.com/cksystemsteaching/selfie
TASEmulators,desmume,2100,https://github.com/TASEmulators/desmume
lamster2018,EasyProtector,2000,https://github.com/lamster2018/EasyProtector
Cxbx-Reloaded,Cxbx-Reloaded,2000,https://github.com/Cxbx-Reloaded/Cxbx-Reloaded
ptitSeb,box64,1900,https://github.com/ptitSeb/box64
SystemRage,py-kms,1900,https://github.com/SystemRage/py-kms
Inori,GPCS4,1800,https://github.com/Inori/GPCS4
BinaryAnalysisPlatform,bap,1800,https://github.com/BinaryAnalysisPlatform/bap
