username,repo_name,stars_count,repo_url
ethereum,go-ethereum,41700,https://github.com/ethereum/go-ethereum
ccxt,ccxt,27700,https://github.com/ccxt/ccxt
OpenZeppelin,openzeppelin-contracts,21800,https://github.com/OpenZeppelin/openzeppelin-contracts
ethereum,solidity,19800,https://github.com/ethereum/solidity
ethereumbook,ethereumbook,17600,https://github.com/ethereumbook/ethereumbook
web3,web3.js,17200,https://github.com/web3/web3.js
sismo-core,sismo-protocol,16100,https://github.com/sismo-core/sismo-protocol
trufflesuite,truffle,13800,https://github.com/trufflesuite/truffle
smartcontractkit,full-blockchain-solidity-course-py,9700,https://github.com/smartcontractkit/full-blockchain-solidity-course-py
MetaMask,metamask-extension,9600,https://github.com/MetaMask/metamask-extension
scaffold-eth,scaffold-eth,8600,https://github.com/scaffold-eth/scaffold-eth
OffcierCia,DeFi-Developer-Road-Map,8400,https://github.com/OffcierCia/DeFi-Developer-Road-Map
smartcontractkit,full-blockchain-solidity-course-js,8300,https://github.com/smartcontractkit/full-blockchain-solidity-course-js
ethereum,mist,7400,https://github.com/ethereum/mist
openethereum,parity-ethereum,6700,https://github.com/openethereum/parity-ethereum
AmazingAng,WTF-Solidity,6700,https://github.com/AmazingAng/WTF-Solidity
ConsenSys,smart-contract-best-practices,6600,https://github.com/ConsenSys/smart-contract-best-practices
ethers-io,ethers.js,6500,https://github.com/ethers-io/ethers.js
yeasy,blockchain_guide,6400,https://github.com/yeasy/blockchain_guide
capstone-engine,capstone,6300,https://github.com/capstone-engine/capstone
bkrem,awesome-solidity,5800,https://github.com/bkrem/awesome-solidity
foundry-rs,foundry,5600,https://github.com/foundry-rs/foundry
NomicFoundation,hardhat,5500,https://github.com/NomicFoundation/hardhat
Uniswap,web3-react,4900,https://github.com/Uniswap/web3-react
ethereum-lists,chains,4800,https://github.com/ethereum-lists/chains
web3j,web3j,4600,https://github.com/web3j/web3j
vyperlang,vyper,4500,https://github.com/vyperlang/vyper
trufflesuite,ganache-ui,4500,https://github.com/trufflesuite/ganache-ui
smartcontractkit,chainlink,4400,https://github.com/smartcontractkit/chainlink
CryptoSignal,Crypto-Signal,4300,https://github.com/CryptoSignal/Crypto-Signal
ConsenSys,quorum,4300,https://github.com/ConsenSys/quorum
wagmi-dev,wagmi,4200,https://github.com/wagmi-dev/wagmi
WalletConnect,web3modal,4100,https://github.com/WalletConnect/web3modal
Uniswap,interface,4000,https://github.com/Uniswap/interface
crytic,slither,4000,https://github.com/crytic/slither
coinpride,CryptoList,4000,https://github.com/coinpride/CryptoList
ethereum,aleth,3900,https://github.com/ethereum/aleth
ethereum,ethereum-org-website,3900,https://github.com/ethereum/ethereum-org-website
jklepatch,eattheblocks,3900,https://github.com/jklepatch/eattheblocks
Scanate,EthList,3800,https://github.com/Scanate/EthList
