username,repo_name,stars_count,repo_url
supabase,supabase,47600,https://github.com/supabase/supabase
appwrite,appwrite,30300,https://github.com/appwrite/appwrite
kriasoft,react-starter-kit,21800,https://github.com/kriasoft/react-starter-kit
pubkey,rxdb,19000,https://github.com/pubkey/rxdb
firebase,functions-samples,11600,https://github.com/firebase/functions-samples
invertase,react-native-firebase,10700,https://github.com/invertase/react-native-firebase
firebase,quickstart-android,8400,https://github.com/firebase/quickstart-android
firebase,flutterfire,7600,https://github.com/firebase/flutterfire
angular,angularfire,7400,https://github.com/angular/angularfire
nhost,nhost,6500,https://github.com/nhost/nhost
microg,GmsCore,5500,https://github.com/microg/GmsCore
Th3Wall,Fakeflix,4800,https://github.com/Th3Wall/Fakeflix
firebase,FirebaseUI-Android,4500,https://github.com/firebase/FirebaseUI-Android
rowyio,rowy,4500,https://github.com/rowyio/rowy
devias-io,material-kit-react,4500,https://github.com/devias-io/material-kit-react
kriasoft,react-firebase-starter,4500,https://github.com/kriasoft/react-firebase-starter
firebase,firebase-js-sdk,4400,https://github.com/firebase/firebase-js-sdk
firebase,firebase-ios-sdk,4400,https://github.com/firebase/firebase-ios-sdk
ThreeDotsLabs,wild-workouts-go-ddd-example,4000,https://github.com/ThreeDotsLabs/wild-workouts-go-ddd-example
labring,laf,3900,https://github.com/labring/laf
spacecloud-io,space-cloud,3800,https://github.com/spacecloud-io/space-cloud
vuejs,vuefire,3500,https://github.com/vuejs/vuefire
FirebaseExtended,reactfire,3300,https://github.com/FirebaseExtended/reactfire
CSFrequency,react-firebase-hooks,3200,https://github.com/CSFrequency/react-firebase-hooks
alyssaxuu,mapus,3000,https://github.com/alyssaxuu/mapus
unicodeveloper,awesome-opensource-apps,2700,https://github.com/unicodeveloper/awesome-opensource-apps
fireship-io,fireship.io,2700,https://github.com/fireship-io/fireship.io
firebase,quickstart-ios,2600,https://github.com/firebase/quickstart-ios
prescottprue,react-redux-firebase,2500,https://github.com/prescottprue/react-redux-firebase
Canner,cannercms,2400,https://github.com/Canner/cannercms
TarikHuber,react-most-wanted,2400,https://github.com/TarikHuber/react-most-wanted
jeffersonRibeiro,react-shopping-cart,2200,https://github.com/jeffersonRibeiro/react-shopping-cart
insin,react-hn,2200,https://github.com/insin/react-hn
mdanics,fluttergram,2200,https://github.com/mdanics/fluttergram
tylermcginnis,re-base,2100,https://github.com/tylermcginnis/re-base
WorldHealthOrganization,app,2100,https://github.com/WorldHealthOrganization/app
onmyway133,PushNotifications,2100,https://github.com/onmyway133/PushNotifications
google,santa-tracker-android,2100,https://github.com/google/santa-tracker-android
firebase,firebase-android-sdk,2000,https://github.com/firebase/firebase-android-sdk
karlhadwen,netflix,2000,https://github.com/karlhadwen/netflix
