username,repo_name,stars_count,repo_url
microsoft,playwright,49200,https://github.com/microsoft/playwright
FiloSottile,mkcert,40300,https://github.com/FiloSottile/mkcert
gorhill,uBlock,35100,https://github.com/gorhill/uBlock
iamadamdev,bypass-paywalls-chrome,34800,https://github.com/iamadamdev/bypass-paywalls-chrome
ovity,octotree,22400,https://github.com/ovity/octotree
ArchiveBox,ArchiveBox,15400,https://github.com/ArchiveBox/ArchiveBox
mozilla-mobile,firefox-ios,11300,https://github.com/mozilla-mobile/firefox-ios
Anarios,return-youtube-dislike,10900,https://github.com/Anarios/return-youtube-dislike
gildas-lormeau,SingleFile,10700,https://github.com/gildas-lormeau/SingleFile
crimx,ext-saladict,10600,https://github.com/crimx/ext-saladict
MetaMask,metamask-extension,9600,https://github.com/MetaMask/metamask-extension
microsoft,playwright-python,8300,https://github.com/microsoft/playwright-python
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
arkenfox,user.js,7200,https://github.com/arkenfox/user.js
moonD4rk,HackBrowserData,7200,https://github.com/moonD4rk/HackBrowserData
Kenshin,simpread,7000,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,6700,https://github.com/ajayyy/SponsorBlock
mozilla-mobile,fenix,6600,https://github.com/mozilla-mobile/fenix
mozilla,geckodriver,6500,https://github.com/mozilla/geckodriver
alyssaxuu,omni,6100,https://github.com/alyssaxuu/omni
bitwarden,clients,5800,https://github.com/bitwarden/clients
melonjs,melonJS,5300,https://github.com/melonjs/melonJS
subhra74,xdm,5100,https://github.com/subhra74/xdm
firefox-devtools,debugger,4600,https://github.com/firefox-devtools/debugger
brookhong,Surfingkeys,4600,https://github.com/brookhong/Surfingkeys
black7375,Firefox-UI-Fix,4300,https://github.com/black7375/Firefox-UI-Fix
tridactyl,tridactyl,4300,https://github.com/tridactyl/tridactyl
web-platform-tests,wpt,4300,https://github.com/web-platform-tests/wpt
notion-enhancer,notion-enhancer,4100,https://github.com/notion-enhancer/notion-enhancer
jonasstrehle,supercookie,4100,https://github.com/jonasstrehle/supercookie
hcfyapp,crx-selection-translate,3900,https://github.com/hcfyapp/crx-selection-translate
cyrus-and,chrome-remote-interface,3900,https://github.com/cyrus-and/chrome-remote-interface
floccusaddon,floccus,3900,https://github.com/floccusaddon/floccus
ClearURLs,Addon,3500,https://github.com/ClearURLs/Addon
mherrmann,selenium-python-helium,3300,https://github.com/mherrmann/selenium-python-helium
iamadamdev,bypass-paywalls-firefox,3300,https://github.com/iamadamdev/bypass-paywalls-firefox
qawolf,qawolf,3200,https://github.com/qawolf/qawolf
seleniumbase,SeleniumBase,3200,https://github.com/seleniumbase/SeleniumBase
sunoj,jjb,3100,https://github.com/sunoj/jjb
laurentj,slimerjs,3000,https://github.com/laurentj/slimerjs
