username,repo_name,stars_count,repo_url
FortAwesome,Font-Awesome,71200,https://github.com/FortAwesome/Font-Awesome
tonsky,FiraCode,69400,https://github.com/tonsky/FiraCode
ryanoasis,nerd-fonts,42600,https://github.com/ryanoasis/nerd-fonts
you-dont-need,You-Dont-Need-JavaScript,18100,https://github.com/you-dont-need/You-Dont-Need-JavaScript
be5invis,Iosevka,15700,https://github.com/be5invis/Iosevka
source-foundry,Hack,15500,https://github.com/source-foundry/Hack
rsms,inter,15200,https://github.com/rsms/inter
gztchan,awesome-design,14500,https://github.com/gztchan/awesome-design
faressoft,terminalizer,13900,https://github.com/faressoft/terminalizer
adobe-fonts,source-han-sans,12400,https://github.com/adobe-fonts/source-han-sans
neutraltone,awesome-stock-resources,11400,https://github.com/neutraltone/awesome-stock-resources
lxgw,LxgwWenKai,11300,https://github.com/lxgw/LxgwWenKai
atelier-anchor,smiley-sans,10800,https://github.com/atelier-anchor/smiley-sans
cdnjs,cdnjs,9800,https://github.com/cdnjs/cdnjs
dompdf,dompdf,9500,https://github.com/dompdf/dompdf
JetBrains,JetBrainsMono,8800,https://github.com/JetBrains/JetBrainsMono
IBM,plex,8400,https://github.com/IBM/plex
snowie2000,mactype,8400,https://github.com/snowie2000/mactype
be5invis,Sarasa-Gothic,8200,https://github.com/be5invis/Sarasa-Gothic
devicons,devicon,7300,https://github.com/devicons/devicon
ubuwaits,beautiful-web-type,7200,https://github.com/ubuwaits/beautiful-web-type
adobe-fonts,source-han-serif,7000,https://github.com/adobe-fonts/source-han-serif
twbs,icons,6700,https://github.com/twbs/icons
IdreesInc,Monocraft,6400,https://github.com/IdreesInc/Monocraft
belluzj,fantasque-sans,6400,https://github.com/belluzj/fantasque-sans
chrissimpkins,codeface,5900,https://github.com/chrissimpkins/codeface
i-tu,Hasklig,5400,https://github.com/i-tu/Hasklig
ecomfe,fontmin,5000,https://github.com/ecomfe/fontmin
uswds,public-sans,4300,https://github.com/uswds/public-sans
opentypejs,opentype.js,3900,https://github.com/opentypejs/opentype.js
olikraus,u8g2,3800,https://github.com/olikraus/u8g2
fontsource,fontsource,3600,https://github.com/fontsource/fontsource
kiliman,operator-mono-lig,3000,https://github.com/kiliman/operator-mono-lig
alfredxing,brick,2900,https://github.com/alfredxing/brick
github,mona-sans,2900,https://github.com/github/mona-sans
arrowtype,recursive,2600,https://github.com/arrowtype/recursive
KyleAMathews,typefaces,2600,https://github.com/KyleAMathews/typefaces
rubjo,victor-mono,2600,https://github.com/rubjo/victor-mono
wordshub,free-font,2600,https://github.com/wordshub/free-font
loregr,LGButton,2300,https://github.com/loregr/LGButton
