username,repo_name,stars_count,repo_url
vuejs,vue,203000,https://github.com/vuejs/vue
laravel,laravel,73000,https://github.com/laravel/laravel
django,django,69600,https://github.com/django/django
gin-gonic,gin,67700,https://github.com/gin-gonic/gin
spring-projects,spring-boot,66400,https://github.com/spring-projects/spring-boot
tiangolo,fastapi,56100,https://github.com/tiangolo/fastapi
nestjs,nest,55600,https://github.com/nestjs/nest
rails,rails,52600,https://github.com/rails/rails
spring-projects,spring-framework,51300,https://github.com/spring-projects/spring-framework
ionic-team,ionic-framework,48800,https://github.com/ionic-team/ionic-framework
scrapy,scrapy,46700,https://github.com/scrapy/scrapy
ocornut,imgui,46400,https://github.com/ocornut/imgui
meteor,meteor,43400,https://github.com/meteor/meteor
Dogfalo,materialize,38800,https://github.com/Dogfalo/materialize
apache,dubbo,38700,https://github.com/apache/dubbo
laravel,framework,29300,https://github.com/laravel/framework
symfony,symfony,28200,https://github.com/symfony/symfony
postcss,postcss,27400,https://github.com/postcss/postcss
ianstormtaylor,slate,26700,https://github.com/ianstormtaylor/slate
gofiber,fiber,25500,https://github.com/gofiber/fiber
akveo,ngx-admin,24400,https://github.com/akveo/ngx-admin
zeromicro,go-zero,23600,https://github.com/zeromicro/go-zero
mdbootstrap,mdb-ui-kit,23200,https://github.com/mdbootstrap/mdb-ui-kit
vapor,vapor,22700,https://github.com/vapor/vapor
python-telegram-bot,python-telegram-bot,21500,https://github.com/python-telegram-bot/python-telegram-bot
libgdx,libgdx,21300,https://github.com/libgdx/libgdx
google,mediapipe,21200,https://github.com/google/mediapipe
go-kratos,kratos,20300,https://github.com/go-kratos/kratos
SergioBenitez,Rocket,20300,https://github.com/SergioBenitez/Rocket
expo,expo,19800,https://github.com/expo/expo
gocolly,colly,19200,https://github.com/gocolly/colly
jorgebucaran,hyperapp,18900,https://github.com/jorgebucaran/hyperapp
Textualize,textual,18600,https://github.com/Textualize/textual
eggjs,egg,18400,https://github.com/eggjs/egg
jina-ai,jina,18000,https://github.com/jina-ai/jina
GrapesJS,grapesjs,17700,https://github.com/GrapesJS/grapesjs
charmbracelet,bubbletea,17600,https://github.com/charmbracelet/bubbletea
alibaba,ice,17500,https://github.com/alibaba/ice
framework7io,framework7,17100,https://github.com/framework7io/framework7
sanic-org,sanic,17000,https://github.com/sanic-org/sanic
