username,repo_name,stars_count,repo_url
facebook,react,205000,https://github.com/facebook/react
vuejs,vue,203000,https://github.com/vuejs/vue
thedaviddias,Front-End-Checklist,64700,https://github.com/thedaviddias/Front-End-Checklist
vitejs,vite,54600,https://github.com/vitejs/vite
ionic-team,ionic-framework,48800,https://github.com/ionic-team/ionic-framework
dypsilon,frontend-dev-bookmarks,37900,https://github.com/dypsilon/frontend-dev-bookmarks
LeCoupa,awesome-cheatsheets,33000,https://github.com/LeCoupa/awesome-cheatsheets
xitu,gold-miner,32100,https://github.com/xitu/gold-miner
iview,iview,24000,https://github.com/iview/iview
haizlin,fe-interview,23300,https://github.com/haizlin/fe-interview
ascoders,weekly,23200,https://github.com/ascoders/weekly
GitHubDaily,GitHubDaily,21500,https://github.com/GitHubDaily/GitHubDaily
expo,expo,19800,https://github.com/expo/expo
vueComponent,ant-design-vue,17900,https://github.com/vueComponent/ant-design-vue
nhn,tui.editor,15800,https://github.com/nhn/tui.editor
thedaviddias,Front-End-Performance-Checklist,15700,https://github.com/thedaviddias/Front-End-Performance-Checklist
baidu,amis,13500,https://github.com/baidu/amis
marko-js,marko,12500,https://github.com/marko-js/marko
tiangolo,full-stack-fastapi-postgresql,11500,https://github.com/tiangolo/full-stack-fastapi-postgresql
tachyons-css,tachyons,11400,https://github.com/tachyons-css/tachyons
nhn,tui.calendar,10700,https://github.com/nhn/tui.calendar
mdbootstrap,Tailwind-Elements,10700,https://github.com/mdbootstrap/Tailwind-Elements
mdbootstrap,material-design-for-bootstrap,9400,https://github.com/mdbootstrap/material-design-for-bootstrap
cs01,gdbgui,9100,https://github.com/cs01/gdbgui
marmelab,gremlins.js,8900,https://github.com/marmelab/gremlins.js
helloqingfeng,Awsome-Front-End-learning-resource,8700,https://github.com/helloqingfeng/Awsome-Front-End-learning-resource
moklick,frontend-stuff,8600,https://github.com/moklick/frontend-stuff
NG-ZORRO,ng-zorro-antd,8400,https://github.com/NG-ZORRO/ng-zorro-antd
bencodezen,vue-enterprise-boilerplate,7600,https://github.com/bencodezen/vue-enterprise-boilerplate
phodal,growth-ebook,7600,https://github.com/phodal/growth-ebook
Tencent,Hippy,7400,https://github.com/Tencent/Hippy
marionettejs,backbone.marionette,7100,https://github.com/marionettejs/backbone.marionette
andrew--r,frontend-case-studies,6900,https://github.com/andrew--r/frontend-case-studies
HospitalRun,hospitalrun-frontend,6700,https://github.com/HospitalRun/hospitalrun-frontend
zeroclipboard,zeroclipboard,6600,https://github.com/zeroclipboard/zeroclipboard
goodjack,developer-roadmap-chinese,6300,https://github.com/goodjack/developer-roadmap-chinese
lgwebdream,FE-Interview,6100,https://github.com/lgwebdream/FE-Interview
imba,imba,6000,https://github.com/imba/imba
NervJS,nerv,5400,https://github.com/NervJS/nerv
rails,webpacker,5300,https://github.com/rails/webpacker
