username,repo_name,stars_count,repo_url
godotengine,godot,59900,https://github.com/godotengine/godot
ocornut,imgui,46400,https://github.com/ocornut/imgui
bevyengine,bevy,23000,https://github.com/bevyengine/bevy
libgdx,libgdx,21300,https://github.com/libgdx/libgdx
leereilly,games,20800,https://github.com/leereilly/games
BabylonJS,Babylon.js,19700,https://github.com/BabylonJS/Babylon.js
cocos2d,cocos2d-x,17000,https://github.com/cocos2d/cocos2d-x
aframevr,aframe,15200,https://github.com/aframevr/aframe
OpenRA,OpenRA,12600,https://github.com/OpenRA/OpenRA
raysan5,raylib,12500,https://github.com/raysan5/raylib
SFTtech,openage,11600,https://github.com/SFTtech/openage
kitao,pyxel,11600,https://github.com/kitao/pyxel
ellisonleao,magictools,11300,https://github.com/ellisonleao/magictools
OpenDiablo2,OpenDiablo2,10400,https://github.com/OpenDiablo2/OpenDiablo2
boardgameio,boardgame.io,9500,https://github.com/boardgameio/boardgame.io
MonoGame,MonoGame,9300,https://github.com/MonoGame/MonoGame
minetest,minetest,8500,https://github.com/minetest/minetest
playcanvas,engine,8200,https://github.com/playcanvas/engine
hajimehoshi,ebiten,8100,https://github.com/hajimehoshi/ebiten
skypjack,entt,8000,https://github.com/skypjack/entt
amethyst,amethyst,7900,https://github.com/amethyst/amethyst
flame-engine,flame,7600,https://github.com/flame-engine/flame
egametang,ET,6900,https://github.com/egametang/ET
sschmid,Entitas,6200,https://github.com/sschmid/Entitas
o3de,o3de,6000,https://github.com/o3de/o3de
FyroxEngine,Fyrox,6000,https://github.com/FyroxEngine/Fyrox
melonjs,melonJS,5300,https://github.com/melonjs/melonJS
4ian,GDevelop,4700,https://github.com/4ian/GDevelop
stride3d,stride,4500,https://github.com/stride3d/stride
BoomingTech,Piccolo,4400,https://github.com/BoomingTech/Piccolo
mosra,magnum,4400,https://github.com/mosra/magnum
urho3d,urho3d,4300,https://github.com/urho3d/urho3d
faiface,pixel,4200,https://github.com/faiface/pixel
FlaxEngine,FlaxEngine,3900,https://github.com/FlaxEngine/FlaxEngine
SanderMertens,flecs,3800,https://github.com/SanderMertens/flecs
egret-labs,egret-core,3800,https://github.com/egret-labs/egret-core
panda3d,panda3d,3800,https://github.com/panda3d/panda3d
ggez,ggez,3700,https://github.com/ggez/ggez
ketoo,NoahGameFrame,3700,https://github.com/ketoo/NoahGameFrame
cocos,cocos-engine,3700,https://github.com/cocos/cocos-engine
