username,repo_name,stars_count,repo_url
github,gitignore,146000,https://github.com/github/gitignore
bregman-arie,devops-exercises,41900,https://github.com/bregman-arie/devops-exercises
gogs,gogs,41900,https://github.com/gogs/gogs
sharkdp,bat,40500,https://github.com/sharkdp/bat
tiimgreen,github-cheat-sheet,40300,https://github.com/tiimgreen/github-cheat-sheet
go-gitea,gitea,35700,https://github.com/go-gitea/gitea
jesseduffield,lazygit,33700,https://github.com/jesseduffield/lazygit
cli,cli,31900,https://github.com/cli/cli
typicode,husky,29100,https://github.com/typicode/husky
github,hub,22400,https://github.com/github/hub
logseq,logseq,21400,https://github.com/logseq/logseq
git-tips,tips,20700,https://github.com/git-tips/tips
requarks,wiki,20500,https://github.com/requarks/wiki
desktop,desktop,17000,https://github.com/desktop/desktop
dandavison,delta,16900,https://github.com/dandavison/delta
decaporg,decap-cms,16400,https://github.com/decaporg/decap-cms
so-fancy,diff-so-fancy,16400,https://github.com/so-fancy/diff-so-fancy
tj,git-extras,16200,https://github.com/tj/git-extras
commitizen,cz-cli,15000,https://github.com/commitizen/cz-cli
521xueweihan,git-tips,14900,https://github.com/521xueweihan/git-tips
dolthub,dolt,14500,https://github.com/dolthub/dolt
geeeeeeeeek,git-recipes,14400,https://github.com/geeeeeeeeek/git-recipes
conventional-changelog,commitlint,13500,https://github.com/conventional-changelog/commitlint
pomber,git-history,13200,https://github.com/pomber/git-history
aalansehaiyang,technology-talk,13100,https://github.com/aalansehaiyang/technology-talk
extrawurst,gitui,12700,https://github.com/extrawurst/gitui
phacility,phabricator,12300,https://github.com/phacility/phabricator
gitleaks,gitleaks,12100,https://github.com/gitleaks/gitleaks
sindresorhus,pure,12100,https://github.com/sindresorhus/pure
okonet,lint-staged,11600,https://github.com/okonet/lint-staged
meolu,walle-web,11600,https://github.com/meolu/walle-web
jonas,tig,11600,https://github.com/jonas/tig
iterative,dvc,11300,https://github.com/iterative/dvc
git-lfs,git-lfs,11300,https://github.com/git-lfs/git-lfs
theonedev,onedev,11000,https://github.com/theonedev/onedev
JanDeDobbeleer,oh-my-posh,10300,https://github.com/JanDeDobbeleer/oh-my-posh
FredrikNoren,ungit,10200,https://github.com/FredrikNoren/ungit
pre-commit,pre-commit,10100,https://github.com/pre-commit/pre-commit
arthurspk,guiadevbrasil,10000,https://github.com/arthurspk/guiadevbrasil
rtyley,bfg-repo-cleaner,9600,https://github.com/rtyley/bfg-repo-cleaner
