username,repo_name,stars_count,repo_url
github,hub,22400,https://github.com/github/hub
tipsy,profile-summary-for-github,19700,https://github.com/tipsy/profile-summary-for-github
lowlighter,metrics,10100,https://github.com/lowlighter/metrics
rzashakeri,beautify-github-profile,9500,https://github.com/rzashakeri/beautify-github-profile
google,go-github,9300,https://github.com/google/go-github
devhubapp,devhub,8800,https://github.com/devhubapp/devhub
donnemartin,gitsome,7400,https://github.com/donnemartin/gitsome
github-changelog-generator,github-changelog-generator,7100,https://github.com/github-changelog-generator/github-changelog-generator
PyGithub,PyGithub,5900,https://github.com/PyGithub/PyGithub
michenriksen,gitrob,5600,https://github.com/michenriksen/gitrob
cloudquery,cloudquery,4300,https://github.com/cloudquery/cloudquery
manosim,gitify,3900,https://github.com/manosim/gitify
octokit,octokit.rb,3700,https://github.com/octokit/octokit.rb
eth0izzle,shhgit,3700,https://github.com/eth0izzle/shhgit
nslogx,Gitter,3600,https://github.com/nslogx/Gitter
async-labs,builderbook,3500,https://github.com/async-labs/builderbook
actions,github-script,3200,https://github.com/actions/github-script
QasimWani,LeetHub,3100,https://github.com/QasimWani/LeetHub
jonan,ForkHub,2800,https://github.com/jonan/ForkHub
leonhartX,gas-github,2800,https://github.com/leonhartX/gas-github
jstrieb,github-stats,2200,https://github.com/jstrieb/github-stats
KnpLabs,php-github-api,2100,https://github.com/KnpLabs/php-github-api
AntBranch,awesome-github,2000,https://github.com/AntBranch/awesome-github
avgupta456,github-trends,2000,https://github.com/avgupta456/github-trends
ming1016,SwiftPamphletApp,2000,https://github.com/ming1016/SwiftPamphletApp
jaywcjlove,github-rank,1800,https://github.com/jaywcjlove/github-rank
coderyi,Monkey,1800,https://github.com/coderyi/Monkey
XPoet,picx,1800,https://github.com/XPoet/picx
debugger22,github-audio,1700,https://github.com/debugger22/github-audio
the-road-to-graphql,react-graphql-github-apollo,1600,https://github.com/the-road-to-graphql/react-graphql-github-apollo
GitHub-Laziji,VBlog,1500,https://github.com/GitHub-Laziji/VBlog
MinhasKamal,DownGit,1400,https://github.com/MinhasKamal/DownGit
bellingcat,octosuite,1400,https://github.com/bellingcat/octosuite
BishopFox,GitGot,1300,https://github.com/BishopFox/GitGot
kezhenxu94,mini-github,1200,https://github.com/kezhenxu94/mini-github
pksunkara,octonode,1200,https://github.com/pksunkara/octonode
sigmavirus24,github3.py,1100,https://github.com/sigmavirus24/github3.py
harshjv,github-repo-size,1100,https://github.com/harshjv/github-repo-size
piotrmurach,github,1100,https://github.com/piotrmurach/github
useful-forks,useful-forks.github.io,993,https://github.com/useful-forks/useful-forks.github.io
