username,repo_name,stars_count,repo_url
golang,go,110000,https://github.com/golang/go
avelino,awesome-go,99100,https://github.com/avelino/awesome-go
kubernetes,kubernetes,97100,https://github.com/kubernetes/kubernetes
gin-gonic,gin,67700,https://github.com/gin-gonic/gin
gohugoio,hugo,66200,https://github.com/gohugoio/hugo
fatedier,frp,65900,https://github.com/fatedier/frp
moby,moby,65600,https://github.com/moby/moby
grafana,grafana,54700,https://github.com/grafana/grafana
junegunn,fzf,51300,https://github.com/junegunn/fzf
syncthing,syncthing,50300,https://github.com/syncthing/syncthing
caddyserver,caddy,46600,https://github.com/caddyserver/caddy
etcd-io,etcd,43000,https://github.com/etcd-io/etcd
traefik,traefik,42400,https://github.com/traefik/traefik
gogs,gogs,41900,https://github.com/gogs/gogs
ethereum,go-ethereum,41700,https://github.com/ethereum/go-ethereum
golang-standards,project-layout,38700,https://github.com/golang-standards/project-layout
minio,minio,38300,https://github.com/minio/minio
rclone,rclone,37700,https://github.com/rclone/rclone
youngyangyang04,leetcode-master,37200,https://github.com/youngyangyang04/leetcode-master
go-gitea,gitea,35700,https://github.com/go-gitea/gitea
pingcap,tidb,33700,https://github.com/pingcap/tidb
unknwon,the-way-to-go_ZH_CN,32400,https://github.com/unknwon/the-way-to-go_ZH_CN
go-gorm,gorm,32000,https://github.com/go-gorm/gorm
spf13,cobra,31300,https://github.com/spf13/cobra
beego,beego,29600,https://github.com/beego/beego
halfrost,LeetCode-Go,29400,https://github.com/halfrost/LeetCode-Go
docker,compose,29000,https://github.com/docker/compose
hashicorp,vault,27400,https://github.com/hashicorp/vault
coreybutler,nvm-windows,27000,https://github.com/coreybutler/nvm-windows
cockroachdb,cockroach,26900,https://github.com/cockroachdb/cockroach
harness,drone,26700,https://github.com/harness/drone
kubernetes,minikube,26200,https://github.com/kubernetes/minikube
gofiber,fiber,25500,https://github.com/gofiber/fiber
labstack,echo,25300,https://github.com/labstack/echo
ehang-io,nps,25200,https://github.com/ehang-io/nps
influxdata,influxdb,25200,https://github.com/influxdata/influxdb
go-kit,kit,24800,https://github.com/go-kit/kit
kataras,iris,23800,https://github.com/kataras/iris
zeromicro,go-zero,23600,https://github.com/zeromicro/go-zero
nsqio,nsq,23400,https://github.com/nsqio/nsq
