username,repo_name,stars_count,repo_url
google-research,bert,33700,https://github.com/google-research/bert
mxrch,GHunt,13500,https://github.com/mxrch/GHunt
google,yapf,13200,https://github.com/google/yapf
firebase,functions-samples,11600,https://github.com/firebase/functions-samples
googleapis,google-api-nodejs-client,10500,https://github.com/googleapis/google-api-nodejs-client
google,dopamine,10100,https://github.com/google/dopamine
infracost,infracost,8900,https://github.com/infracost/infracost
firebase,flutterfire,7600,https://github.com/firebase/flutterfire
selierlin,Share-SSR-V2ray,7500,https://github.com/selierlin/Share-SSR-V2ray
tensorlayer,TensorLayer,7200,https://github.com/tensorlayer/TensorLayer
tycrek,degoogle,6700,https://github.com/tycrek/degoogle
google-map-react,google-map-react,6000,https://github.com/google-map-react/google-map-react
jarun,googler,5900,https://github.com/jarun/googler
microg,GmsCore,5500,https://github.com/microg/GmsCore
Tapadoo,Alerter,5400,https://github.com/Tapadoo/Alerter
google,closure-library,4700,https://github.com/google/closure-library
lennylxx,ipv6-hosts,4500,https://github.com/lennylxx/ipv6-hosts
google,gts,4300,https://github.com/google/gts
cloudquery,cloudquery,4300,https://github.com/cloudquery/cloudquery
fontsource,fontsource,3600,https://github.com/fontsource/fontsource
zdhxiong,mdui,3500,https://github.com/zdhxiong/mdui
justjavac,Google-IPs,3400,https://github.com/justjavac/Google-IPs
FlutterOpen,flutter-ui-nice,3400,https://github.com/FlutterOpen/flutter-ui-nice
txthinking,google-hosts,3300,https://github.com/txthinking/google-hosts
hybridauth,hybridauth,3300,https://github.com/hybridauth/hybridauth
Pawdroid,Free-servers,3300,https://github.com/Pawdroid/Free-servers
google,google-ctf,3200,https://github.com/google/google-ctf
openthread,openthread,3100,https://github.com/openthread/openthread
justjavac,ReplaceGoogleCDN,3000,https://github.com/justjavac/ReplaceGoogleCDN
GAM-team,GAM,3000,https://github.com/GAM-team/GAM
mgechev,google-interview-preparation-problems,3000,https://github.com/mgechev/google-interview-preparation-problems
spatie,laravel-analytics,2800,https://github.com/spatie/laravel-analytics
googlesamples,mlkit,2700,https://github.com/googlesamples/mlkit
hegaojian,JetpackMvvm,2600,https://github.com/hegaojian/JetpackMvvm
googlemaps,google-maps-services-js,2600,https://github.com/googlemaps/google-maps-services-js
anushka23g,Complete-Placement-Preparation,2600,https://github.com/anushka23g/Complete-Placement-Preparation
federicoiosue,Omni-Notes,2500,https://github.com/federicoiosue/Omni-Notes
simon-weber,gmusicapi,2500,https://github.com/simon-weber/gmusicapi
Canner,cannercms,2400,https://github.com/Canner/cannercms
matheuss,google-translate-api,2400,https://github.com/matheuss/google-translate-api
