username,repo_name,stars_count,repo_url
gradle,gradle,14500,https://github.com/gradle/gradle
GoogleContainerTools,jib,12600,https://github.com/GoogleContainerTools/jib
inferjay,AndroidDevTools,7500,https://github.com/inferjay/AndroidDevTools
Meituan-Dianping,walle,6600,https://github.com/Meituan-Dianping/walle
igorwojda,android-showcase,5900,https://github.com/igorwojda/android-showcase
cabaletta,baritone,5500,https://github.com/cabaletta/baritone
hibernate,hibernate-orm,5300,https://github.com/hibernate/hibernate-orm
mcxiaoke,packer-ng-plugin,4800,https://github.com/mcxiaoke/packer-ng-plugin
nisrulz,android-tips-tricks,4700,https://github.com/nisrulz/android-tips-tricks
Meituan-Dianping,Robust,4300,https://github.com/Meituan-Dianping/Robust
cesarferreira,dryrun,3800,https://github.com/cesarferreira/dryrun
gradle,kotlin-dsl-samples,3700,https://github.com/gradle/kotlin-dsl-samples
diffplug,spotless,3400,https://github.com/diffplug/spotless
Kotlin,kotlin-examples,3100,https://github.com/Kotlin/kotlin-examples
KeepSafe,dexcount-gradle-plugin,3000,https://github.com/KeepSafe/dexcount-gradle-plugin
bytedance,ByteX,2800,https://github.com/bytedance/ByteX
Tencent,VasDolly,2800,https://github.com/Tencent/VasDolly
EngineHub,WorldEdit,2700,https://github.com/EngineHub/WorldEdit
north2016,T-MVP,2700,https://github.com/north2016/T-MVP
Qihoo360,ArgusAPM,2600,https://github.com/Qihoo360/ArgusAPM
jitpack,jitpack.io,2400,https://github.com/jitpack/jitpack.io
AnyChart,AnyChart-Android,2100,https://github.com/AnyChart/AnyChart-Android
mancj,MaterialSearchBar,2000,https://github.com/mancj/MaterialSearchBar
julian-klode,dns66,2000,https://github.com/julian-klode/dns66
jeanboydev,Android-ReadTheFuckingSourceCode,1900,https://github.com/jeanboydev/Android-ReadTheFuckingSourceCode
sanluan,PublicCMS,1900,https://github.com/sanluan/PublicCMS
REBOOTERS,AndroidAnimationExercise,1700,https://github.com/REBOOTERS/AndroidAnimationExercise
crazyqiang,AndroidStudy,1600,https://github.com/crazyqiang/AndroidStudy
freedomofdevelopers,fod,1500,https://github.com/freedomofdevelopers/fod
uber,okbuck,1500,https://github.com/uber/okbuck
cortinico,kotlin-android-template,1500,https://github.com/cortinico/kotlin-android-template
javiersantos,PiracyChecker,1500,https://github.com/javiersantos/PiracyChecker
tonyofrancis,Fetch,1500,https://github.com/tonyofrancis/Fetch
jmfayard,refreshVersions,1500,https://github.com/jmfayard/refreshVersions
typ0520,fastdex,1500,https://github.com/typ0520/fastdex
robertlevonyan,material-chip-view,1300,https://github.com/robertlevonyan/material-chip-view
linisme,Cipher.so,1300,https://github.com/linisme/Cipher.so
Leaking,Hunter,1300,https://github.com/Leaking/Hunter
JetBrains,gradle-intellij-plugin,1300,https://github.com/JetBrains/gradle-intellij-plugin
MegatronKing,StringFog,1200,https://github.com/MegatronKing/StringFog
