username,repo_name,stars_count,repo_url
miniMAC,magic,8000,https://github.com/miniMAC/magic
vigetlabs,blendid,5000,https://github.com/vigetlabs/blendid
nieweidong,fetool,4400,https://github.com/nieweidong/fetool
assemble,assemble,4200,https://github.com/assemble/assemble
yeoman,generator-webapp,3800,https://github.com/yeoman/generator-webapp
Tencent,WeFlow,3200,https://github.com/Tencent/WeFlow
EmailThis,extension-boilerplate,3200,https://github.com/EmailThis/extension-boilerplate
MicrosoftDX,Vorlonjs,2900,https://github.com/MicrosoftDX/Vorlonjs
nas5w,100-days-of-code-frontend,2600,https://github.com/nas5w/100-days-of-code-frontend
Tencent,tmt-workflow,2200,https://github.com/Tencent/tmt-workflow
egoist,maid,2000,https://github.com/egoist/maid
summerblue,phphub5,2000,https://github.com/summerblue/phphub5
ykob,sketch-threejs,1900,https://github.com/ykob/sketch-threejs
PatrickJS,NG6-starter,1900,https://github.com/PatrickJS/NG6-starter
nicejade,Front-end-tutorial,1700,https://github.com/nicejade/Front-end-tutorial
luangjokaj,wordpressify,1500,https://github.com/luangjokaj/wordpressify
flatlogic,angular-material-dashboard,1300,https://github.com/flatlogic/angular-material-dashboard
FountainJS,generator-fountain-webapp,973,https://github.com/FountainJS/generator-fountain-webapp
nicejade,nice-front-end-tutorial,883,https://github.com/nicejade/nice-front-end-tutorial
cferdinandi,gulp-boilerplate,852,https://github.com/cferdinandi/gulp-boilerplate
Platform-CUF,use-gulp,849,https://github.com/Platform-CUF/use-gulp
logeshpaul,Frontend-Cheat-Sheets,845,https://github.com/logeshpaul/Frontend-Cheat-Sheets
tars,tars,801,https://github.com/tars/tars
themesberg,neumorphism-ui-bootstrap,787,https://github.com/themesberg/neumorphism-ui-bootstrap
minamarkham,sassy-starter,756,https://github.com/minamarkham/sassy-starter
jonschlinkert,gulp-htmlmin,734,https://github.com/jonschlinkert/gulp-htmlmin
ericmdantas,generator-ng-fullstack,703,https://github.com/ericmdantas/generator-ng-fullstack
aermin,vue-chat,693,https://github.com/aermin/vue-chat
xsynaptic,wordpress-gulp-starter-kit,675,https://github.com/xsynaptic/wordpress-gulp-starter-kit
jh3y,tyto,669,https://github.com/jh3y/tyto
scniro,gulp-clean-css,644,https://github.com/scniro/gulp-clean-css
nicothin,NTH-start-project,621,https://github.com/nicothin/NTH-start-project
BootstrapDash,PurpleAdmin-Free-Admin-Template,621,https://github.com/BootstrapDash/PurpleAdmin-Free-Admin-Template
brianmaierjr,long-haul,609,https://github.com/brianmaierjr/long-haul
alferov,awesome-gulp,601,https://github.com/alferov/awesome-gulp
foundation,panini,592,https://github.com/foundation/panini
HosseinKarami,fastshell,552,https://github.com/HosseinKarami/fastshell
JacksonGariety,gulp-nodemon,527,https://github.com/JacksonGariety/gulp-nodemon
antonybudianto,angular-starter,526,https://github.com/antonybudianto/angular-starter
miickel,gulp-angular-templatecache,524,https://github.com/miickel/gulp-angular-templatecache
