username,repo_name,stars_count,repo_url
freeCodeCamp,freeCodeCamp,364000,https://github.com/freeCodeCamp/freeCodeCamp
EbookFoundation,free-programming-books,273000,https://github.com/EbookFoundation/free-programming-books
ohmyzsh,ohmyzsh,157000,https://github.com/ohmyzsh/ohmyzsh
TheAlgorithms,Python,156000,https://github.com/TheAlgorithms/Python
microsoft,vscode,144000,https://github.com/microsoft/vscode
axios,axios,99500,https://github.com/axios/axios
avelino,awesome-go,99100,https://github.com/avelino/awesome-go
huggingface,transformers,89300,https://github.com/huggingface/transformers
mui,material-ui,85500,https://github.com/mui/material-ui
iluwatar,java-design-patterns,80500,https://github.com/iluwatar/java-design-patterns
rust-lang,rust,79700,https://github.com/rust-lang/rust
florinpop17,app-ideas,63500,https://github.com/florinpop17/app-ideas
tauri-apps,tauri,61600,https://github.com/tauri-apps/tauri
chartjs,Chart.js,60200,https://github.com/chartjs/Chart.js
godotengine,godot,59900,https://github.com/godotengine/godot
home-assistant,core,59300,https://github.com/home-assistant/core
ansible,ansible,56900,https://github.com/ansible/ansible
mermaid-js,mermaid,56000,https://github.com/mermaid-js/mermaid
leonardomso,33-js-concepts,55600,https://github.com/leonardomso/33-js-concepts
nestjs,nest,55600,https://github.com/nestjs/nest
grafana,grafana,54700,https://github.com/grafana/grafana
chrislgarry,Apollo-11,54700,https://github.com/chrislgarry/Apollo-11
anuraghazra,github-readme-stats,53600,https://github.com/anuraghazra/github-readme-stats
strapi,strapi,52800,https://github.com/strapi/strapi
sdmg15,Best-websites-a-programmer-should-visit,51100,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
TheAlgorithms,Java,50900,https://github.com/TheAlgorithms/Java
hoppscotch,hoppscotch,50700,https://github.com/hoppscotch/hoppscotch
tesseract-ocr,tesseract,50000,https://github.com/tesseract-ocr/tesseract
supabase,supabase,47600,https://github.com/supabase/supabase
prometheus,prometheus,47400,https://github.com/prometheus/prometheus
scrapy,scrapy,46700,https://github.com/scrapy/scrapy
swisskyrepo,PayloadsAllTheThings,46600,https://github.com/swisskyrepo/PayloadsAllTheThings
caddyserver,caddy,46600,https://github.com/caddyserver/caddy
git,git,45800,https://github.com/git/git
excalidraw,excalidraw,45600,https://github.com/excalidraw/excalidraw
tldr-pages,tldr,43700,https://github.com/tldr-pages/tldr
DefinitelyTyped,DefinitelyTyped,43400,https://github.com/DefinitelyTyped/DefinitelyTyped
facebook,docusaurus,43400,https://github.com/facebook/docusaurus
TryGhost,Ghost,42800,https://github.com/TryGhost/Ghost
ryanoasis,nerd-fonts,42600,https://github.com/ryanoasis/nerd-fonts
