username,repo_name,stars_count,repo_url
Homebrew,brew,35500,https://github.com/Homebrew/brew
github,hub,22400,https://github.com/github/hub
Homebrew,homebrew-cask,19900,https://github.com/Homebrew/homebrew-cask
Homebrew,homebrew-core,12300,https://github.com/Homebrew/homebrew-core
goreleaser,goreleaser,11400,https://github.com/goreleaser/goreleaser
Caldis,Mos,11000,https://github.com/Caldis/Mos
mas-cli,mas,9700,https://github.com/mas-cli/mas
IdreesInc,Monocraft,6400,https://github.com/IdreesInc/Monocraft
diasurgical,devilutionX,6300,https://github.com/diasurgical/devilutionX
geerlingguy,mac-dev-playbook,5200,https://github.com/geerlingguy/mac-dev-playbook
Homebrew,homebrew-bundle,4400,https://github.com/Homebrew/homebrew-bundle
LumaTeam,Luma3DS,4200,https://github.com/LumaTeam/Luma3DS
mock-server,mockserver,4100,https://github.com/mock-server/mockserver
paulirish,dotfiles,4100,https://github.com/paulirish/dotfiles
whalebrew,whalebrew,3700,https://github.com/whalebrew/whalebrew
cointop-sh,cointop,3600,https://github.com/cointop-sh/cointop
Linuxbrew,brew,2600,https://github.com/Linuxbrew/brew
nicoverbruggen,phpmon,2600,https://github.com/nicoverbruggen/phpmon
Homebrew,homebrew-cask-fonts,2600,https://github.com/Homebrew/homebrew-cask-fonts
nicknisi,dotfiles,2500,https://github.com/nicknisi/dotfiles
XorTroll,Goldleaf,2300,https://github.com/XorTroll/Goldleaf
AtlasNX,Kosmos,2100,https://github.com/AtlasNX/Kosmos
MikeMcQuaid,strap,2000,https://github.com/MikeMcQuaid/strap
mac-cleanup,mac-cleanup-sh,1900,https://github.com/mac-cleanup/mac-cleanup-sh
driesvints,dotfiles,1800,https://github.com/driesvints/dotfiles
AdoptOpenJDK,homebrew-openjdk,1800,https://github.com/AdoptOpenJDK/homebrew-openjdk
Homebrew,homebrew-services,1800,https://github.com/Homebrew/homebrew-services
shivammathur,homebrew-php,1800,https://github.com/shivammathur/homebrew-php
d12frosted,homebrew-emacs-plus,1800,https://github.com/d12frosted/homebrew-emacs-plus
minamarkham,formation,1800,https://github.com/minamarkham/formation
Homebrew,install,1700,https://github.com/Homebrew/install
syndbg,goenv,1600,https://github.com/syndbg/goenv
bitwarden,cli,1600,https://github.com/bitwarden/cli
smallhadroncollider,taskell,1600,https://github.com/smallhadroncollider/taskell
kerl,kerl,1500,https://github.com/kerl/kerl
Nonchalant,AppIcon,1500,https://github.com/Nonchalant/AppIcon
hacks-guide,Guide_3DS,1300,https://github.com/hacks-guide/Guide_3DS
stevegrunwell,asimov,1200,https://github.com/stevegrunwell/asimov
Team-Neptune,DeepSea,1200,https://github.com/Team-Neptune/DeepSea
Homebrew,linuxbrew-core,1200,https://github.com/Homebrew/linuxbrew-core
