username,repo_name,stars_count,repo_url
homebridge,homebridge,21700,https://github.com/homebridge/homebridge
oznu,docker-homebridge,2400,https://github.com/oznu/docker-homebridge
oznu,homebridge-config-ui-x,2300,https://github.com/oznu/homebridge-config-ui-x
YinHangCode,homebridge-mi-aqara,1100,https://github.com/YinHangCode/homebridge-mi-aqara
hjdhjd,homebridge-unifi-protect,1000,https://github.com/hjdhjd/homebridge-unifi-protect
Sunoo,homebridge-camera-ffmpeg,1000,https://github.com/Sunoo/homebridge-camera-ffmpeg
homebridge,homebridge-raspbian-image,939,https://github.com/homebridge/homebridge-raspbian-image
dgreif,ring,926,https://github.com/dgreif/ring
merdok,homebridge-webos-tv,588,https://github.com/merdok/homebridge-webos-tv
tavicu,homebridge-samsung-tizen,579,https://github.com/tavicu/homebridge-samsung-tizen
sieren,Homepoint,565,https://github.com/sieren/Homepoint
lprhodes,homebridge-broadlink-rm,563,https://github.com/lprhodes/homebridge-broadlink-rm
oznu,homebridge-syno-spk,529,https://github.com/oznu/homebridge-syno-spk
hoobs-org,HOOBS,520,https://github.com/hoobs-org/HOOBS
seydx,homebridge-camera-ui,493,https://github.com/seydx/homebridge-camera-ui
hjdhjd,homebridge-myq,420,https://github.com/hjdhjd/homebridge-myq
plasticrake,homebridge-tplink-smarthome,413,https://github.com/plasticrake/homebridge-tplink-smarthome
taligentx,dscKeybusInterface,407,https://github.com/taligentx/dscKeybusInterface
tonesto7,homebridge-smartthings,377,https://github.com/tonesto7/homebridge-smartthings
oznu,homebridge-gsh,358,https://github.com/oznu/homebridge-gsh
bwp91,homebridge-ewelink,342,https://github.com/bwp91/homebridge-ewelink
homebridge-xiaomi-roborock-vacuum,homebridge-xiaomi-roborock-vacuum,335,https://github.com/homebridge-xiaomi-roborock-vacuum/homebridge-xiaomi-roborock-vacuum
homebridge,verified,333,https://github.com/homebridge/verified
seydx,homebridge-bravia-tvos,303,https://github.com/seydx/homebridge-bravia-tvos
naofireblade,homebridge-weather-plus,283,https://github.com/naofireblade/homebridge-weather-plus
ParadoxAlarmInterface,pai,281,https://github.com/ParadoxAlarmInterface/pai
tuya,tuya-homebridge,267,https://github.com/tuya/tuya-homebridge
LASER-Yi,homebridge-mi-acpartner,261,https://github.com/LASER-Yi/homebridge-mi-acpartner
alexryd,homebridge-shelly,260,https://github.com/alexryd/homebridge-shelly
merdok,homebridge-miot,259,https://github.com/merdok/homebridge-miot
seydx,camera.ui,256,https://github.com/seydx/camera.ui
hannseman,homebridge-mi-hygrothermograph,246,https://github.com/hannseman/homebridge-mi-hygrothermograph
AlexGustafsson,homebridge-wol,237,https://github.com/AlexGustafsson/homebridge-wol
bwp91,homebridge-govee,235,https://github.com/bwp91/homebridge-govee
nxhack,openwrt-node-packages,233,https://github.com/nxhack/openwrt-node-packages
itavero,homebridge-z2m,212,https://github.com/itavero/homebridge-z2m
seydx,homebridge-fritz-platform,208,https://github.com/seydx/homebridge-fritz-platform
nicoduj,homebridge-harmony,206,https://github.com/nicoduj/homebridge-harmony
milo526,homebridge-tuya-web,198,https://github.com/milo526/homebridge-tuya-web
sahilchaddha,homebridge-dafang,197,https://github.com/sahilchaddha/homebridge-dafang
