username,repo_name,stars_count,repo_url
ipfs,ipfs,22000,https://github.com/ipfs/ipfs
lensterxyz,lenster,18900,https://github.com/lensterxyz/lenster
ipfs,kubo,14900,https://github.com/ipfs/kubo
smartcontractkit,full-blockchain-solidity-course-js,8300,https://github.com/smartcontractkit/full-blockchain-solidity-course-js
orbitdb,orbit-db,7600,https://github.com/orbitdb/orbit-db
ipfs,js-ipfs,7400,https://github.com/ipfs/js-ipfs
berty,berty,6700,https://github.com/berty/berty
ipfs,ipfs-desktop,5100,https://github.com/ipfs/ipfs-desktop
book-searcher-org,book-searcher,5000,https://github.com/book-searcher-org/book-searcher
TeamPiped,Piped,4200,https://github.com/TeamPiped/Piped
ipfs,awesome-ipfs,4000,https://github.com/ipfs/awesome-ipfs
embarklabs,embark,3700,https://github.com/embarklabs/embark
lenstube-xyz,lenstube,3600,https://github.com/lenstube-xyz/lenstube
yjjnls,awesome-blockchain,2800,https://github.com/yjjnls/awesome-blockchain
hoochanlon,fq-book,2700,https://github.com/hoochanlon/fq-book
filecoin-project,lotus,2600,https://github.com/filecoin-project/lotus
graphprotocol,graph-node,2400,https://github.com/graphprotocol/graph-node
libp2p,js-libp2p,2000,https://github.com/libp2p/js-libp2p
ipfs,ipfs-companion,1900,https://github.com/ipfs/ipfs-companion
Peergos,Peergos,1600,https://github.com/Peergos/Peergos
orbitdb,orbit,1600,https://github.com/orbitdb/orbit
ipfs,ipfs-webui,1400,https://github.com/ipfs/ipfs-webui
ipfs-cluster,ipfs-cluster,1300,https://github.com/ipfs-cluster/ipfs-cluster
redacademy,vue-ethereum-ipfs,1300,https://github.com/redacademy/vue-ethereum-ipfs
DimensionDev,Maskbook,1300,https://github.com/DimensionDev/Maskbook
rs-ipfs,rust-ipfs,1200,https://github.com/rs-ipfs/rust-ipfs
ipfspics,ipfspics-server,1100,https://github.com/ipfspics/ipfspics-server
ipfs-shipyard,ipfs-deploy,1100,https://github.com/ipfs-shipyard/ipfs-deploy
qri-io,qri,1100,https://github.com/qri-io/qri
Planetable,Planet,1100,https://github.com/Planetable/Planet
ipfs,specs,1100,https://github.com/ipfs/specs
OpenBazaar,openbazaar-go,996,https://github.com/OpenBazaar/openbazaar-go
IceFireDB,IceFireDB,975,https://github.com/IceFireDB/IceFireDB
dennis-tra,pcp,945,https://github.com/dennis-tra/pcp
ipfs,public-gateway-checker,863,https://github.com/ipfs/public-gateway-checker
FileNation,FileNation,857,https://github.com/FileNation/FileNation
dtube,dtube,772,https://github.com/dtube/dtube
ipfs-search,ipfs-search,769,https://github.com/ipfs-search/ipfs-search
icidasset,diffuse,710,https://github.com/icidasset/diffuse
croqaz,awesome-decentralized,663,https://github.com/croqaz/awesome-decentralized
