username,repo_name,stars_count,repo_url
tiangolo,fastapi,56100,https://github.com/tiangolo/fastapi
prettier,prettier,45200,https://github.com/prettier/prettier
chinese-poetry,chinese-poetry,39200,https://github.com/chinese-poetry/chinese-poetry
Asabeneh,30-Days-Of-JavaScript,34700,https://github.com/Asabeneh/30-Days-Of-JavaScript
nlohmann,json,34300,https://github.com/nlohmann/json
SheetJS,sheetjs,32600,https://github.com/SheetJS/sheetjs
httpie,httpie,27100,https://github.com/httpie/httpie
dromara,hutool,25800,https://github.com/dromara/hutool
alibaba,fastjson,25200,https://github.com/alibaba/fastjson
AykutSarac,jsoncrack.com,23400,https://github.com/AykutSarac/jsoncrack.com
codex-team,editor.js,22200,https://github.com/codex-team/editor.js
SwiftyJSON,SwiftyJSON,21900,https://github.com/SwiftyJSON/SwiftyJSON
paularmstrong,normalizr,21000,https://github.com/paularmstrong/normalizr
urfave,cli,20000,https://github.com/urfave/cli
typicode,lowdb,19300,https://github.com/typicode/lowdb
simdjson,simdjson,16700,https://github.com/simdjson/simdjson
antonmedv,fx,16100,https://github.com/antonmedv/fx
modood,Administrative-divisions-of-China,14900,https://github.com/modood/Administrative-divisions-of-China
baidu,amis,13500,https://github.com/baidu/amis
rjsf-team,react-jsonschema-form,12500,https://github.com/rjsf-team/react-jsonschema-form
json-iterator,go,12100,https://github.com/json-iterator/go
tidwall,gjson,12000,https://github.com/tidwall/gjson
postmanlabs,httpbin,11600,https://github.com/postmanlabs/httpbin
tiangolo,full-stack-fastapi-postgresql,11500,https://github.com/tiangolo/full-stack-fastapi-postgresql
Mantle,Mantle,11300,https://github.com/Mantle/Mantle
pinojs,pino,11200,https://github.com/pinojs/pino
pwxcoo,chinese-xinhua,10000,https://github.com/pwxcoo/chinese-xinhua
JamesNK,Newtonsoft.Json,9900,https://github.com/JamesNK/Newtonsoft.Json
quicktype,quicktype,9700,https://github.com/quicktype/quicktype
tiangolo,sqlmodel,9700,https://github.com/tiangolo/sqlmodel
sindresorhus,ky,9100,https://github.com/sindresorhus/ky
astrit,css.gg,9000,https://github.com/astrit/css.gg
jwtk,jjwt,9000,https://github.com/jwtk/jjwt
SocialSisterYi,bilibili-API-collect,8900,https://github.com/SocialSisterYi/bilibili-API-collect
httpie,http-prompt,8700,https://github.com/httpie/http-prompt
CoderMJLee,MJExtension,8500,https://github.com/CoderMJLee/MJExtension
mikefarah,yq,8300,https://github.com/mikefarah/yq
rs,zerolog,7900,https://github.com/rs/zerolog
open-policy-agent,opa,7900,https://github.com/open-policy-agent/opa
johnkerl,miller,7600,https://github.com/johnkerl/miller
