username,repo_name,stars_count,repo_url
CyC2018,CS-Notes,163000,https://github.com/CyC2018/CS-Notes
Snailclimb,JavaGuide,132000,https://github.com/Snailclimb/JavaGuide
iluwatar,java-design-patterns,80500,https://github.com/iluwatar/java-design-patterns
doocs,advanced-java,69400,https://github.com/doocs/advanced-java
spring-projects,spring-boot,66400,https://github.com/spring-projects/spring-boot
macrozheng,mall,64500,https://github.com/macrozheng/mall
elastic,elasticsearch,63200,https://github.com/elastic/elasticsearch
kdn251,interviews,59400,https://github.com/kdn251/interviews
TheAlgorithms,Java,50900,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,50900,https://github.com/azl397985856/leetcode
google,guava,47100,https://github.com/google/guava
ReactiveX,RxJava,46900,https://github.com/ReactiveX/RxJava
square,okhttp,43800,https://github.com/square/okhttp
square,retrofit,41300,https://github.com/square/retrofit
apache,dubbo,38700,https://github.com/apache/dubbo
youngyangyang04,leetcode-master,37200,https://github.com/youngyangyang04/leetcode-master
PhilJay,MPAndroidChart,36300,https://github.com/PhilJay/MPAndroidChart
apache,spark,35400,https://github.com/apache/spark
jeecgboot,jeecg-boot,34100,https://github.com/jeecgboot/jeecg-boot
skylot,jadx,34000,https://github.com/skylot/jadx
AobingJava,JavaFamily,33400,https://github.com/AobingJava/JavaFamily
alibaba,arthas,32100,https://github.com/alibaba/arthas
dbeaver,dbeaver,31300,https://github.com/dbeaver/dbeaver
zxing,zxing,30800,https://github.com/zxing/zxing
xkcoding,spring-boot-demo,29100,https://github.com/xkcoding/spring-boot-demo
ityouknow,spring-boot-examples,28700,https://github.com/ityouknow/spring-boot-examples
square,leakcanary,28300,https://github.com/square/leakcanary
alibaba,easyexcel,27300,https://github.com/alibaba/easyexcel
Wechat-Group,WxJava,27100,https://github.com/Wechat-Group/WxJava
crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout
SeleniumHQ,selenium,26200,https://github.com/SeleniumHQ/selenium
appsmithorg,appsmith,25900,https://github.com/appsmithorg/appsmith
dromara,hutool,25800,https://github.com/dromara/hutool
alibaba,fastjson,25200,https://github.com/alibaba/fastjson
alibaba,spring-cloud-alibaba,25200,https://github.com/alibaba/spring-cloud-alibaba
ray-project,ray,24900,https://github.com/ray-project/ray
hollischuang,toBeTopJavaer,24500,https://github.com/hollischuang/toBeTopJavaer
xuxueli,xxl-job,23900,https://github.com/xuxueli/xxl-job
NativeScript,NativeScript,22400,https://github.com/NativeScript/NativeScript
doocs,leetcode,21700,https://github.com/doocs/leetcode
