username,repo_name,stars_count,repo_url
freeCodeCamp,freeCodeCamp,364000,https://github.com/freeCodeCamp/freeCodeCamp
facebook,react,205000,https://github.com/facebook/react
vuejs,vue,203000,https://github.com/vuejs/vue
getify,You-Dont-Know-JS,166000,https://github.com/getify/You-Dont-Know-JS
trekhleb,javascript-algorithms,166000,https://github.com/trekhleb/javascript-algorithms
twbs,bootstrap,163000,https://github.com/twbs/bootstrap
airbnb,javascript,133000,https://github.com/airbnb/javascript
30-seconds,30-seconds-of-code,109000,https://github.com/30-seconds/30-seconds-of-code
electron,electron,107000,https://github.com/electron/electron
justjavac,free-programming-books-zh_CN,101000,https://github.com/justjavac/free-programming-books-zh_CN
axios,axios,99500,https://github.com/axios/axios
practical-tutorials,project-based-learning,96000,https://github.com/practical-tutorials/project-based-learning
nodejs,node,94300,https://github.com/nodejs/node
mrdoob,three.js,90400,https://github.com/mrdoob/three.js
microsoft,TypeScript,90000,https://github.com/microsoft/TypeScript
denoland,deno,88800,https://github.com/denoland/deno
goldbergyoni,nodebestpractices,87700,https://github.com/goldbergyoni/nodebestpractices
angular,angular,87200,https://github.com/angular/angular
mui,material-ui,85500,https://github.com/mui/material-ui
ryanmcdermott,clean-code-javascript,81000,https://github.com/ryanmcdermott/clean-code-javascript
storybookjs,storybook,77800,https://github.com/storybookjs/storybook
microsoft,Web-Dev-For-Beginners,68300,https://github.com/microsoft/Web-Dev-For-Beginners
thedaviddias,Front-End-Checklist,64700,https://github.com/thedaviddias/Front-End-Checklist
webpack,webpack,62800,https://github.com/webpack/webpack
expressjs,express,60400,https://github.com/expressjs/express
chartjs,Chart.js,60200,https://github.com/chartjs/Chart.js
atom,atom,59300,https://github.com/atom/atom
socketio,socket.io,57900,https://github.com/socketio/socket.io
mermaid-js,mermaid,56000,https://github.com/mermaid-js/mermaid
lodash,lodash,56000,https://github.com/lodash/lodash
leonardomso,33-js-concepts,55600,https://github.com/leonardomso/33-js-concepts
nestjs,nest,55600,https://github.com/nestjs/nest
DopplerHQ,awesome-interview-questions,54400,https://github.com/DopplerHQ/awesome-interview-questions
h5bp,html5-boilerplate,54200,https://github.com/h5bp/html5-boilerplate
ElemeFE,element,53200,https://github.com/ElemeFE/element
strapi,strapi,52800,https://github.com/strapi/strapi
azl397985856,leetcode,50900,https://github.com/azl397985856/leetcode
sindresorhus,awesome-nodejs,50400,https://github.com/sindresorhus/awesome-nodejs
microsoft,playwright,49200,https://github.com/microsoft/playwright
ionic-team,ionic-framework,48800,https://github.com/ionic-team/ionic-framework
