username,repo_name,stars_count,repo_url
jekyll,jekyll,46400,https://github.com/jekyll/jekyll
tabler,tabler,33600,https://github.com/tabler/tabler
mmistakes,minimal-mistakes,10800,https://github.com/mmistakes/minimal-mistakes
primer,octicons,7700,https://github.com/primer/octicons
just-the-docs,just-the-docs,5700,https://github.com/just-the-docs/just-the-docs
alshedivat,al-folio,5300,https://github.com/alshedivat/al-folio
mqtt,mqtt.org,5000,https://github.com/mqtt/mqtt.org
daattali,beautiful-jekyll,4600,https://github.com/daattali/beautiful-jekyll
home-assistant,home-assistant.io,3500,https://github.com/home-assistant/home-assistant.io
fastai,fastpages,3500,https://github.com/fastai/fastpages
poole,hyde,3500,https://github.com/poole/hyde
github,choosealicense.com,3200,https://github.com/github/choosealicense.com
poole,lanyon,3100,https://github.com/poole/lanyon
jekyll,minima,2900,https://github.com/jekyll/minima
poole,poole,2800,https://github.com/poole/poole
kitian616,jekyll-TeXt-theme,2700,https://github.com/kitian616/jekyll-TeXt-theme
jekyll,jekyll-admin,2700,https://github.com/jekyll/jekyll-admin
sharu725,online-cv,2400,https://github.com/sharu725/online-cv
sergiokopplin,indigo,2400,https://github.com/sergiokopplin/indigo
eduardoboucas,staticman,2300,https://github.com/eduardoboucas/staticman
TaylanTatli,Moon,2200,https://github.com/TaylanTatli/Moon
mmistakes,so-simple-theme,1900,https://github.com/mmistakes/so-simple-theme
dtinth,comic-mono-font,1900,https://github.com/dtinth/comic-mono-font
Gaohaoyang,gaohaoyang.github.io,1800,https://github.com/Gaohaoyang/gaohaoyang.github.io
github,pages-gem,1800,https://github.com/github/pages-gem
jglovier,gifs,1600,https://github.com/jglovier/gifs
jglovier,resume-template,1600,https://github.com/jglovier/resume-template
sproogen,modern-resume-theme,1600,https://github.com/sproogen/modern-resume-theme
jekyll,jekyll-seo-tag,1500,https://github.com/jekyll/jekyll-seo-tag
mzlogin,mzlogin.github.io,1400,https://github.com/mzlogin/mzlogin.github.io
remote-jp,remote-in-japan,1400,https://github.com/remote-jp/remote-in-japan
jeromelachaud,freelancer-theme,1300,https://github.com/jeromelachaud/freelancer-theme
christian-fei,Simple-Jekyll-Search,1300,https://github.com/christian-fei/Simple-Jekyll-Search
pages-themes,minimal,1200,https://github.com/pages-themes/minimal
nielsenramon,chalk,1200,https://github.com/nielsenramon/chalk
hydecorp,hydejack,1100,https://github.com/hydecorp/hydejack
envygeeks,jekyll-assets,1100,https://github.com/envygeeks/jekyll-assets
wowthemesnet,mediumish-theme-jekyll,1100,https://github.com/wowthemesnet/mediumish-theme-jekyll
Homebrew,formulae.brew.sh,1100,https://github.com/Homebrew/formulae.brew.sh
elipapa,markdown-cv,1100,https://github.com/elipapa/markdown-cv
