username,repo_name,stars_count,repo_url
jakevdp,PythonDataScienceHandbook,38000,https://github.com/jakevdp/PythonDataScienceHandbook
CamDavidsonPilon,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,25500,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers
ageron,handson-ml,25000,https://github.com/ageron/handson-ml
trekhleb,homemade-machine-learning,21100,https://github.com/trekhleb/homemade-machine-learning
MLEveryday,100-Days-Of-ML-Code,19600,https://github.com/MLEveryday/100-Days-Of-ML-Code
microsoft,recommenders,15400,https://github.com/microsoft/recommenders
emilwallner,Screenshot-to-code,14000,https://github.com/emilwallner/Screenshot-to-code
plotly,plotly.py,13200,https://github.com/plotly/plotly.py
chenyuntc,pytorch-book,10900,https://github.com/chenyuntc/pytorch-book
ydataai,ydata-profiling,10400,https://github.com/ydataai/ydata-profiling
jupyter,notebook,9900,https://github.com/jupyter/notebook
dunovank,jupyter-themes,9500,https://github.com/dunovank/jupyter-themes
marceloprates,prettymaps,9300,https://github.com/marceloprates/prettymaps
AkashSingh3031,The-Complete-FAANG-Preparation,8900,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
microsoft,computervision-recipes,8900,https://github.com/microsoft/computervision-recipes
aws,amazon-sagemaker-examples,8100,https://github.com/aws/amazon-sagemaker-examples
jupyter,docker-stacks,7200,https://github.com/jupyter/docker-stacks
jupyterhub,jupyterhub,7100,https://github.com/jupyterhub/jupyterhub
firmai,industry-machine-learning,6800,https://github.com/firmai/industry-machine-learning
Atcold,pytorch-Deep-Learning,6300,https://github.com/Atcold/pytorch-Deep-Learning
codebasics,py,6100,https://github.com/codebasics/py
nteract,nteract,6000,https://github.com/nteract/nteract
mwouts,jupytext,5900,https://github.com/mwouts/jupytext
jerry-git,learn-python3,5700,https://github.com/jerry-git/learn-python3
voila-dashboards,voila,4700,https://github.com/voila-dashboards/voila
tensorflow,lucid,4500,https://github.com/tensorflow/lucid
BrambleXu,pydata-notebook,4500,https://github.com/BrambleXu/pydata-notebook
IntelLabs,distiller,4100,https://github.com/IntelLabs/distiller
man-group,dtale,4000,https://github.com/man-group/dtale
TrickyGo,Dive-into-DL-TensorFlow2.0,3600,https://github.com/TrickyGo/Dive-into-DL-TensorFlow2.0
justmarkham,scikit-learn-videos,3500,https://github.com/justmarkham/scikit-learn-videos
gopherdata,gophernotes,3500,https://github.com/gopherdata/gophernotes
Cyb3rWard0g,HELK,3500,https://github.com/Cyb3rWard0g/HELK
twopirllc,pandas-ta,3500,https://github.com/twopirllc/pandas-ta
evidentlyai,evidently,3300,https://github.com/evidentlyai/evidently
microsoft,tensorwatch,3300,https://github.com/microsoft/tensorwatch
markusschanta,awesome-jupyter,3300,https://github.com/markusschanta/awesome-jupyter
ml-tooling,ml-workspace,3000,https://github.com/ml-tooling/ml-workspace
MLEveryday,practicalAI-cn,2900,https://github.com/MLEveryday/practicalAI-cn
barbagroup,CFDPython,2800,https://github.com/barbagroup/CFDPython
