username,repo_name,stars_count,repo_url
kubernetes,kubernetes,97100,https://github.com/kubernetes/kubernetes
netdata,netdata,62500,https://github.com/netdata/netdata
etcd-io,etcd,43000,https://github.com/etcd-io/etcd
traefik,traefik,42400,https://github.com/traefik/traefik
bregman-arie,devops-exercises,41900,https://github.com/bregman-arie/devops-exercises
minio,minio,38300,https://github.com/minio/minio
Kong,kong,34400,https://github.com/Kong/kong
LeCoupa,awesome-cheatsheets,33000,https://github.com/LeCoupa/awesome-cheatsheets
istio,istio,32700,https://github.com/istio/istio
hashicorp,consul,26200,https://github.com/hashicorp/consul
kubernetes,minikube,26200,https://github.com/kubernetes/minikube
alibaba,nacos,25900,https://github.com/alibaba/nacos
portainer,portainer,25000,https://github.com/portainer/portainer
dokku,dokku,24400,https://github.com/dokku/dokku
helm,helm,24000,https://github.com/helm/helm
openfaas,faas,22900,https://github.com/openfaas/faas
k3s-io,k3s,22700,https://github.com/k3s-io/k3s
MichaelCade,90DaysOfDevOps,22200,https://github.com/MichaelCade/90DaysOfDevOps
yeasy,docker_practice,22100,https://github.com/yeasy/docker_practice
GitHubDaily,GitHubDaily,21500,https://github.com/GitHubDaily/GitHubDaily
lensapp,lens,20900,https://github.com/lensapp/lens
rancher,rancher,20800,https://github.com/rancher/rancher
dapr,dapr,20800,https://github.com/dapr/dapr
jhipster,generator-jhipster,20400,https://github.com/jhipster/generator-jhipster
derailed,k9s,20300,https://github.com/derailed/k9s
goharbor,harbor,19700,https://github.com/goharbor/harbor
ToolJet,ToolJet,18500,https://github.com/ToolJet/ToolJet
jina-ai,jina,18000,https://github.com/jina-ai/jina
eip-work,kuboard-press,17800,https://github.com/eip-work/kuboard-press
containers,podman,17400,https://github.com/containers/podman
seaweedfs,seaweedfs,16900,https://github.com/seaweedfs/seaweedfs
aquasecurity,trivy,16800,https://github.com/aquasecurity/trivy
authelia,authelia,16000,https://github.com/authelia/authelia
vitessio,vitess,15800,https://github.com/vitessio/vitess
pulumi,pulumi,15500,https://github.com/pulumi/pulumi
helm,charts,15500,https://github.com/helm/charts
microsoft,recommenders,15400,https://github.com/microsoft/recommenders
ahmetb,kubectx,15000,https://github.com/ahmetb/kubectx
cilium,cilium,14800,https://github.com/cilium/cilium
kubernetes,kops,14800,https://github.com/kubernetes/kops
