username,repo_name,stars_count,repo_url
marktext,marktext,39200,https://github.com/marktext/marktext
HarisIqbal88,PlotNeuralNet,19100,https://github.com/HarisIqbal88/PlotNeuralNet
posquit0,Awesome-CV,18800,https://github.com/posquit0/Awesome-CV
KaTeX,KaTeX,16400,https://github.com/KaTeX/KaTeX
hmemcpy,milewski-ctfp-pdf,10100,https://github.com/hmemcpy/milewski-ctfp-pdf
mathjax,MathJax,9300,https://github.com/mathjax/MathJax
billryan,resume,7100,https://github.com/billryan/resume
garrettj403,SciencePlots,5100,https://github.com/garrettj403/SciencePlots
Wandmalfarbe,pandoc-latex-template,5000,https://github.com/Wandmalfarbe/pandoc-latex-template
lervag,vimtex,4500,https://github.com/lervag/vimtex
tuna,thuthesis,3900,https://github.com/tuna/thuthesis
google-research,arxiv-latex-cleaner,3800,https://github.com/google-research/arxiv-latex-cleaner
sb2nov,resume,3700,https://github.com/sb2nov/resume
retorquere,zotero-better-bibtex,3700,https://github.com/retorquere/zotero-better-bibtex
Keldos-Li,typora-latex-theme,3500,https://github.com/Keldos-Li/typora-latex-theme
Wookai,paper-tips-and-tricks,3400,https://github.com/Wookai/paper-tips-and-tricks
rstudio,bookdown,3300,https://github.com/rstudio/bookdown
lukas-blecher,LaTeX-OCR,3300,https://github.com/lukas-blecher/LaTeX-OCR
luong-komorebi,Begin-Latex-in-minutes,3200,https://github.com/luong-komorebi/Begin-Latex-in-minutes
JabRef,jabref,3000,https://github.com/JabRef/jabref
saadq,resumake.io,2800,https://github.com/saadq/resumake.io
sjtug,SJTUThesis,2800,https://github.com/sjtug/SJTUThesis
noraj,OSCP-Exam-Report-Template-Markdown,2800,https://github.com/noraj/OSCP-Exam-Report-Template-Markdown
IceEnd,Yosoro,2700,https://github.com/IceEnd/Yosoro
dyweb,awesome-resume-for-chinese,2600,https://github.com/dyweb/awesome-resume-for-chinese
vincentdoerig,latex-css,2500,https://github.com/vincentdoerig/latex-css
Hedgehog-Computing,hedgehog-lab,2300,https://github.com/Hedgehog-Computing/hedgehog-lab
susam,texme,2200,https://github.com/susam/texme
texstudio-org,texstudio,2100,https://github.com/texstudio-org/texstudio
jankapunkt,latexcv,2100,https://github.com/jankapunkt/latexcv
varkor,quiver,2100,https://github.com/varkor/quiver
nschloe,tikzplotlib,2100,https://github.com/nschloe/tikzplotlib
yuchenlin,rebiber,2100,https://github.com/yuchenlin/rebiber
SwiftLaTeX,SwiftLaTeX,1900,https://github.com/SwiftLaTeX/SwiftLaTeX
personqianduixue,Math_Model,1900,https://github.com/personqianduixue/Math_Model
TheNetAdmin,zjuthesis,1800,https://github.com/TheNetAdmin/zjuthesis
yishn,tikzcd-editor,1800,https://github.com/yishn/tikzcd-editor
rstudio,gt,1700,https://github.com/rstudio/gt
latex3,latex3,1600,https://github.com/latex3/latex3
dnl-blkv,mcdowell-cv,1500,https://github.com/dnl-blkv/mcdowell-cv
