username,repo_name,stars_count,repo_url
laravel,laravel,73000,https://github.com/laravel/laravel
laravel,framework,29300,https://github.com/laravel/framework
monicahq,monica,18900,https://github.com/monicahq/monica
barryvdh,laravel-debugbar,15100,https://github.com/barryvdh/laravel-debugbar
koel,koel,14600,https://github.com/koel/koel
flarum,flarum,13900,https://github.com/flarum/flarum
Intervention,image,13200,https://github.com/Intervention/image
CachetHQ,Cachet,13100,https://github.com/CachetHQ/Cachet
barryvdh,laravel-ide-helper,13000,https://github.com/barryvdh/laravel-ide-helper
roots,sage,12100,https://github.com/roots/sage
chiraggude,awesome-laravel,11700,https://github.com/chiraggude/awesome-laravel
SpartnerNL,Laravel-Excel,11400,https://github.com/SpartnerNL/Laravel-Excel
the-control-group,voyager,11400,https://github.com/the-control-group/voyager
BookStackApp,BookStack,11300,https://github.com/BookStackApp/BookStack
spatie,laravel-permission,11100,https://github.com/spatie/laravel-permission
octobercms,october,10800,https://github.com/octobercms/october
tymondesigns,jwt-auth,10800,https://github.com/tymondesigns/jwt-auth
alexeymezenin,laravel-best-practices,9400,https://github.com/alexeymezenin/laravel-best-practices
guyueyingmu,avbook,8800,https://github.com/guyueyingmu/avbook
laravel,lumen,7600,https://github.com/laravel/lumen
laravel,tinker,7200,https://github.com/laravel/tinker
Laravel-Lang,lang,7000,https://github.com/Laravel-Lang/lang
invoiceninja,invoiceninja,7000,https://github.com/invoiceninja/invoiceninja
crater-invoice,crater,6900,https://github.com/crater-invoice/crater
jenssegers,laravel-mongodb,6400,https://github.com/jenssegers/laravel-mongodb
ecrmnn,collect.js,6300,https://github.com/ecrmnn/collect.js
fruitcake,laravel-cors,6200,https://github.com/fruitcake/laravel-cors
filamentphp,filament,6200,https://github.com/filamentphp/filament
akaunting,akaunting,6100,https://github.com/akaunting/akaunting
aimeos,aimeos-laravel,6100,https://github.com/aimeos/aimeos-laravel
flarum,framework,5900,https://github.com/flarum/framework
barryvdh,laravel-dompdf,5800,https://github.com/barryvdh/laravel-dompdf
bagisto,bagisto,5600,https://github.com/bagisto/bagisto
rappasoft,laravel-boilerplate,5400,https://github.com/rappasoft/laravel-boilerplate
spatie,laravel-medialibrary,5300,https://github.com/spatie/laravel-medialibrary
laravel,socialite,5300,https://github.com/laravel/socialite
spatie,laravel-backup,5200,https://github.com/spatie/laravel-backup
laravel-mix,laravel-mix,5200,https://github.com/laravel-mix/laravel-mix
itsgoingd,clockwork,4900,https://github.com/itsgoingd/clockwork
pterodactyl,panel,4800,https://github.com/pterodactyl/panel
