username,repo_name,stars_count,repo_url
facebook,react,205000,https://github.com/facebook/react
ocornut,imgui,46400,https://github.com/ocornut/imgui
curl,curl,29100,https://github.com/curl/curl
ccxt,ccxt,27700,https://github.com/ccxt/ccxt
acheong08,ChatGPT,22800,https://github.com/acheong08/ChatGPT
mojs,mojs,17900,https://github.com/mojs/mojs
framework7io,framework7,17100,https://github.com/framework7io/framework7
OpenGenus,cosmos,13300,https://github.com/OpenGenus/cosmos
dgraph-io,badger,12100,https://github.com/dgraph-io/badger
Ramotion,animated-tab-bar,11100,https://github.com/Ramotion/animated-tab-bar
WenchaoD,FSCalendar,10300,https://github.com/WenchaoD/FSCalendar
felangel,bloc,10300,https://github.com/felangel/bloc
Ramotion,folding-cell,10200,https://github.com/Ramotion/folding-cell
cdnjs,cdnjs,9800,https://github.com/cdnjs/cdnjs
nextui-org,nextui,9600,https://github.com/nextui-org/nextui
apache,thrift,9600,https://github.com/apache/thrift
libgit2,libgit2,9000,https://github.com/libgit2/libgit2
roughike,BottomBar,8400,https://github.com/roughike/BottomBar
FreeRDP,FreeRDP,8000,https://github.com/FreeRDP/FreeRDP
LonamiWebs,Telethon,7600,https://github.com/LonamiWebs/Telethon
ColorfulCat,AndroidLibs,7500,https://github.com/ColorfulCat/AndroidLibs
patrickmn,go-cache,7000,https://github.com/patrickmn/go-cache
sbstjn,timesheet.js,6900,https://github.com/sbstjn/timesheet.js
needim,noty,6700,https://github.com/needim/noty
gruns,icecream,6700,https://github.com/gruns/icecream
IntelRealSense,librealsense,6700,https://github.com/IntelRealSense/librealsense
thu-ml,tianshou,6000,https://github.com/thu-ml/tianshou
Devlight,InfiniteCycleViewPager,5700,https://github.com/Devlight/InfiniteCycleViewPager
lpereira,lwan,5700,https://github.com/lpereira/lwan
kubernetes-client,python,5600,https://github.com/kubernetes-client/python
lusaxweb,vuesax,5600,https://github.com/lusaxweb/vuesax
libimobiledevice,libimobiledevice,5600,https://github.com/libimobiledevice/libimobiledevice
Ramotion,expanding-collection,5500,https://github.com/Ramotion/expanding-collection
tdlib,td,5500,https://github.com/tdlib/td
microsoft,FASTER,5500,https://github.com/microsoft/FASTER
SwiftUIX,SwiftUIX,5500,https://github.com/SwiftUIX/SwiftUIX
libcpr,cpr,5400,https://github.com/libcpr/cpr
wolfpld,tracy,5300,https://github.com/wolfpld/tracy
grpc-ecosystem,go-grpc-middleware,5300,https://github.com/grpc-ecosystem/go-grpc-middleware
MontFerret,ferret,5300,https://github.com/MontFerret/ferret
