username,repo_name,stars_count,repo_url
jlevy,the-art-of-command-line,134000,https://github.com/jlevy/the-art-of-command-line
nodejs,node,94300,https://github.com/nodejs/node
trimstray,the-book-of-secret-knowledge,93900,https://github.com/trimstray/the-book-of-secret-knowledge
atom,atom,59300,https://github.com/atom/atom
ventoy,Ventoy,47400,https://github.com/ventoy/Ventoy
alacritty,alacritty,45800,https://github.com/alacritty/alacritty
bregman-arie,devops-exercises,41900,https://github.com/bregman-arie/devops-exercises
vercel,hyper,40600,https://github.com/vercel/hyper
FiloSottile,mkcert,40300,https://github.com/FiloSottile/mkcert
sherlock-project,sherlock,40100,https://github.com/sherlock-project/sherlock
rustdesk,rustdesk,40000,https://github.com/rustdesk/rustdesk
marktext,marktext,39200,https://github.com/marktext/marktext
PowerShell,PowerShell,37700,https://github.com/PowerShell/PowerShell
GitSquared,edex-ui,36800,https://github.com/GitSquared/edex-ui
agalwood,Motrix,36400,https://github.com/agalwood/Motrix
nativefier,nativefier,33300,https://github.com/nativefier/nativefier
Z4nzu,hackingtool,29700,https://github.com/Z4nzu/hackingtool
lencx,ChatGPT,28600,https://github.com/lencx/ChatGPT
0xAX,linux-insides,28000,https://github.com/0xAX/linux-insides
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
jaywcjlove,linux-command,23400,https://github.com/jaywcjlove/linux-command
matteocrippa,awesome-swift,23100,https://github.com/matteocrippa/awesome-swift
qier222,YesPlayMusic,22600,https://github.com/qier222/YesPlayMusic
yeasy,docker_practice,22100,https://github.com/yeasy/docker_practice
GitHubDaily,GitHubDaily,21500,https://github.com/GitHubDaily/GitHubDaily
notable,notable,21500,https://github.com/notable/notable
libgdx,libgdx,21300,https://github.com/libgdx/libgdx
termux,termux-app,20500,https://github.com/termux/termux-app
luong-komorebi,Awesome-Linux-Software,19000,https://github.com/luong-komorebi/Awesome-Linux-Software
Swordfish90,cool-retro-term,18500,https://github.com/Swordfish90/cool-retro-term
AvaloniaUI,Avalonia,17400,https://github.com/AvaloniaUI/Avalonia
containers,podman,17400,https://github.com/containers/podman
BoostIO,BoostNote-Legacy,17200,https://github.com/BoostIO/BoostNote-Legacy
kivy,kivy,15700,https://github.com/kivy/kivy
xbmc,xbmc,15600,https://github.com/xbmc/xbmc
keepassxreboot,keepassxc,15400,https://github.com/keepassxreboot/keepassxc
imarvinle,awesome-cs-books,15300,https://github.com/imarvinle/awesome-cs-books
brave,brave-browser,15000,https://github.com/brave/brave-browser
wailsapp,wails,14900,https://github.com/wailsapp/wails
wasmerio,wasmer,14800,https://github.com/wasmerio/wasmer
