username,repo_name,stars_count,repo_url
neovim,neovim,64200,https://github.com/neovim/neovim
coolsnowwolf,lede,25400,https://github.com/coolsnowwolf/lede
SpaceVim,SpaceVim,19700,https://github.com/SpaceVim/SpaceVim
cocos2d,cocos2d-x,17000,https://github.com/cocos2d/cocos2d-x
NvChad,NvChad,15600,https://github.com/NvChad/NvChad
LunarVim,LunarVim,13800,https://github.com/LunarVim/LunarVim
lionsoul2014,ip2region,13100,https://github.com/lionsoul2014/ip2region
spotify,annoy,11000,https://github.com/spotify/annoy
Hammerspoon,hammerspoon,10200,https://github.com/Hammerspoon/hammerspoon
codota,TabNine,9900,https://github.com/codota/TabNine
nvim-telescope,telescope.nvim,9500,https://github.com/nvim-telescope/telescope.nvim
lk-geimfari,awesomo,8900,https://github.com/lk-geimfari/awesomo
minetest,minetest,8500,https://github.com/minetest/minetest
AstroNvim,AstroNvim,8400,https://github.com/AstroNvim/AstroNvim
Tencent,xLua,8300,https://github.com/Tencent/xLua
nmap,nmap,7600,https://github.com/nmap/nmap
nodemcu,nodemcu-firmware,7300,https://github.com/nodemcu/nodemcu-firmware
xmake-io,xmake,6800,https://github.com/xmake-io/xmake
brndnmtthws,conky,6100,https://github.com/brndnmtthws/conky
wbthomason,packer.nvim,6100,https://github.com/wbthomason/packer.nvim
awesomeWM,awesome,5500,https://github.com/awesomeWM/awesome
yuin,gopher-lua,5400,https://github.com/yuin/gopher-lua
nanotee,nvim-lua-guide,5200,https://github.com/nanotee/nvim-lua-guide
akopytov,sysbench,5100,https://github.com/akopytov/sysbench
nvim-tree,nvim-tree.lua,4700,https://github.com/nvim-tree/nvim-tree.lua
cuberite,cuberite,4500,https://github.com/cuberite/cuberite
turanszkij,WickedEngine,4400,https://github.com/turanszkij/WickedEngine
williamboman,mason.nvim,4100,https://github.com/williamboman/mason.nvim
martanne,vis,4000,https://github.com/martanne/vis
lite-xl,lite-xl,3700,https://github.com/lite-xl/lite-xl
alibaba,LuaViewSDK,3700,https://github.com/alibaba/LuaViewSDK
nvim-neorg,neorg,3700,https://github.com/nvim-neorg/neorg
luvit,luvit,3600,https://github.com/luvit/luvit
nvim-lualine,lualine.nvim,3600,https://github.com/nvim-lualine/lualine.nvim
ThePhD,sol2,3400,https://github.com/ThePhD/sol2
TarrySingh,Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,3400,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials
kaitai-io,kaitai_struct,3400,https://github.com/kaitai-io/kaitai_struct
facontidavide,PlotJuggler,3400,https://github.com/facontidavide/PlotJuggler
fcambus,nginx-resources,3300,https://github.com/fcambus/nginx-resources
a327ex,blog,3200,https://github.com/a327ex/blog
