username,repo_name,stars_count,repo_url
PRML,PRMLT,5700,https://github.com/PRML/PRMLT
zhanwen,MathModel,5400,https://github.com/zhanwen/MathModel
ZheC,Realtime_Multi-Person_Pose_Estimation,5000,https://github.com/ZheC/Realtime_Multi-Person_Pose_Estimation
flybywiresim,a32nx,4600,https://github.com/flybywiresim/a32nx
Chakazul,Lenia,3100,https://github.com/Chakazul/Lenia
ZachL1,Bilibili-plus,3100,https://github.com/ZachL1/Bilibili-plus
personqianduixue,Math_Model,1900,https://github.com/personqianduixue/Math_Model
kaxap,arl,1800,https://github.com/kaxap/arl
HuangCongQing,Algorithms_MathModels,1700,https://github.com/HuangCongQing/Algorithms_MathModels
matlab2tikz,matlab2tikz,1300,https://github.com/matlab2tikz/matlab2tikz
casadi,casadi,1200,https://github.com/casadi/casadi
pptacher,probabilistic_robotics,1100,https://github.com/pptacher/probabilistic_robotics
scottclowe,matlab-schemer,1000,https://github.com/scottclowe/matlab-schemer
analyticalmonk,awesome-neuroscience,1000,https://github.com/analyticalmonk/awesome-neuroscience
petercorke,robotics-toolbox-matlab,1000,https://github.com/petercorke/robotics-toolbox-matlab
BIMK,PlatEMO,1000,https://github.com/BIMK/PlatEMO
bytefish,facerec,942,https://github.com/bytefish/facerec
JSBSim-Team,jsbsim,865,https://github.com/JSBSim-Team/jsbsim
JalaliLabUCLA,Image-feature-detection-using-Phase-Stretch-Transform,833,https://github.com/JalaliLabUCLA/Image-feature-detection-using-Phase-Stretch-Transform
DrTimothyAldenDavis,SuiteSparse,785,https://github.com/DrTimothyAldenDavis/SuiteSparse
trekhleb,machine-learning-octave,780,https://github.com/trekhleb/machine-learning-octave
andrewssobral,lrslibrary,746,https://github.com/andrewssobral/lrslibrary
fieldtrip,fieldtrip,708,https://github.com/fieldtrip/fieldtrip
piermorel,gramm,690,https://github.com/piermorel/gramm
MinZHANG-WHU,Change-Detection-Review,673,https://github.com/MinZHANG-WHU/Change-Detection-Review
oneTaken,awesome_deep_learning_interpretability,656,https://github.com/oneTaken/awesome_deep_learning_interpretability
mathworks,MathWorks-Excellence-in-Innovation,651,https://github.com/mathworks/MathWorks-Excellence-in-Innovation
benfulcher,hctsa,593,https://github.com/benfulcher/hctsa
AtsushiSakai,MATLABRobotics,497,https://github.com/AtsushiSakai/MATLABRobotics
GuoShi28,CBDNet,460,https://github.com/GuoShi28/CBDNet
conradsnicta,armadillo-code,429,https://github.com/conradsnicta/armadillo-code
CodeSama346623,Bilibili346623,429,https://github.com/CodeSama346623/Bilibili346623
equinor,segyio,417,https://github.com/equinor/segyio
davidvarga,MBeautifier,405,https://github.com/davidvarga/MBeautifier
26hzhang,OptimizedImageEnhance,402,https://github.com/26hzhang/OptimizedImageEnhance
cszn,SRMD,397,https://github.com/cszn/SRMD
kbinani,colormap-shaders,385,https://github.com/kbinani/colormap-shaders
votchallenge,toolkit-legacy,382,https://github.com/votchallenge/toolkit-legacy
CERN,TIGRE,376,https://github.com/CERN/TIGRE
yalmip,YALMIP,374,https://github.com/yalmip/YALMIP
