username,repo_name,stars_count,repo_url
tensorflow,tensorflow,173000,https://github.com/tensorflow/tensorflow
huggingface,transformers,89300,https://github.com/huggingface/transformers
pytorch,pytorch,64700,https://github.com/pytorch/pytorch
keras-team,keras,57800,https://github.com/keras-team/keras
Developer-Y,cs-video-courses,54200,https://github.com/Developer-Y/cs-video-courses
scikit-learn,scikit-learn,53600,https://github.com/scikit-learn/scikit-learn
tesseract-ocr,tesseract,50000,https://github.com/tesseract-ocr/tesseract
ageitgey,face_recognition,47800,https://github.com/ageitgey/face_recognition
microsoft,ML-For-Beginners,45700,https://github.com/microsoft/ML-For-Beginners
binhnguyennus,awesome-scalability,44400,https://github.com/binhnguyennus/awesome-scalability
deepfakes,faceswap,44200,https://github.com/deepfakes/faceswap
aymericdamien,TensorFlow-Examples,42700,https://github.com/aymericdamien/TensorFlow-Examples
JuliaLang,julia,42000,https://github.com/JuliaLang/julia
d2l-ai,d2l-zh,41200,https://github.com/d2l-ai/d2l-zh
Avik-Jain,100-Days-Of-ML-Code,40500,https://github.com/Avik-Jain/100-Days-Of-ML-Code
iperov,DeepFaceLab,38300,https://github.com/iperov/DeepFaceLab
ultralytics,yolov5,36900,https://github.com/ultralytics/yolov5
BVLC,caffe,33200,https://github.com/BVLC/caffe
GokuMohandas,Made-With-ML,32900,https://github.com/GokuMohandas/Made-With-ML
google-research,google-research,28200,https://github.com/google-research/google-research
fengdu78,Coursera-ML-AndrewNg-Notes,27300,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes
ZuzooVn,machine-learning-for-software-engineers,26700,https://github.com/ZuzooVn/machine-learning-for-software-engineers
CMU-Perceptual-Computing-Lab,openpose,26600,https://github.com/CMU-Perceptual-Computing-Lab/openpose
explosion,spaCy,25700,https://github.com/explosion/spaCy
photoprism,photoprism,25400,https://github.com/photoprism/photoprism
ageron,handson-ml,25000,https://github.com/ageron/handson-ml
ray-project,ray,24900,https://github.com/ray-project/ray
donnemartin,data-science-ipython-notebooks,24800,https://github.com/donnemartin/data-science-ipython-notebooks
AMAI-GmbH,AI-Expert-Roadmap,24600,https://github.com/AMAI-GmbH/AI-Expert-Roadmap
terryum,awesome-deep-learning-papers,24400,https://github.com/terryum/awesome-deep-learning-papers
eugeneyan,applied-ml,24000,https://github.com/eugeneyan/applied-ml
dmlc,xgboost,23900,https://github.com/dmlc/xgboost
TheAlgorithms,C-Plus-Plus,23800,https://github.com/TheAlgorithms/C-Plus-Plus
fastai,fastai,23600,https://github.com/fastai/fastai
streamlit,streamlit,23600,https://github.com/streamlit/streamlit
Lightning-AI,lightning,22200,https://github.com/Lightning-AI/lightning
eriklindernoren,ML-From-Scratch,22000,https://github.com/eriklindernoren/ML-From-Scratch
lutzroeder,netron,21800,https://github.com/lutzroeder/netron
sebastianruder,NLP-progress,21500,https://github.com/sebastianruder/NLP-progress
mozilla,DeepSpeech,21500,https://github.com/mozilla/DeepSpeech
